TGF	LPS	Cholesterol	Fructose	Background	NPC
NAFT18014_P3B1_D14_115_S1	FALSE	TRUE	TRUE	FALSE	lean	low
NAFT18014_P3B4_D14_118_S4	FALSE	TRUE	TRUE	FALSE	fat	low
NAFT18014_P4A1_D14_121_S7	TRUE	FALSE	TRUE	FALSE	lean	low
NAFT18014_P4A4_D14_124_S10	TRUE	FALSE	TRUE	FALSE	fat	low
NAFT18014_P4B1_D14_127_S13	FALSE	FALSE	TRUE	FALSE	lean	low
NAFT18014_P4B4_D14_130_S16	FALSE	FALSE	TRUE	FALSE	fat	low
NAFT18014_P5A1_D14_133_S19	TRUE	TRUE	TRUE	TRUE	lean	high
NAFT18014_P5A4_D14_136_S22	TRUE	TRUE	TRUE	TRUE	fat	high
NAFT18014_P5B1_D14_139_S2	TRUE	TRUE	TRUE	TRUE	lean	low
NAFT18014_P5B4_D14_142_S5	TRUE	TRUE	TRUE	TRUE	fat	low
NAFT18015_P1B1_D14_151_S8	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18015_P1B4_D14_154_S11	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18015_P1B6_D14_156_S14	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18015_P2A2_D14_158_S17	FALSE	TRUE	FALSE	FALSE	lean	low
NAFT18015_P2A4_D14_160_S20	FALSE	TRUE	FALSE	FALSE	fat	low
NAFT18015_P2A6_D14_162_S23	FALSE	TRUE	FALSE	FALSE	fat	low
NAFT18015_P2B2_D14_164_S3	TRUE	FALSE	FALSE	FALSE	lean	low
NAFT18015_P2B4_D14_166_S6	TRUE	FALSE	FALSE	FALSE	fat	low
NAFT18015_P2B6_D14_168_S9	TRUE	FALSE	FALSE	FALSE	fat	low
NAFT18015_P3A2_D14_170_S12	FALSE	FALSE	FALSE	TRUE	lean	low
NAFT18015_P3A4_D14_172_S15	FALSE	FALSE	FALSE	TRUE	fat	low
NAFT18015_P3A6_D14_174_S18	FALSE	FALSE	FALSE	TRUE	fat	low
NAFT18015_P3B3_D14_176_S21	TRUE	TRUE	FALSE	FALSE	lean	low
NAFT18015_P3B5_D14_178_S24	TRUE	TRUE	FALSE	FALSE	fat	low
NAFT18012_P1B1_D14_55_S8	FALSE	TRUE	FALSE	FALSE	lean	high
NAFT18012_P1B5_D14_59_S11	FALSE	TRUE	FALSE	FALSE	fat	high
NAFT18012_P2A3_D14_63_S14	TRUE	FALSE	FALSE	FALSE	lean	high
NAFT18012_P2B1_D14_67_S17	FALSE	FALSE	FALSE	TRUE	lean	high
NAFT18012_P2B5_D14_71_S20	FALSE	FALSE	FALSE	TRUE	fat	high
