Node1	Sign	Node2	Weight
Perturbation	1	MTA1	100
Perturbation	1	MTCP1	100
Perturbation	1	MTMR4	100
Perturbation	1	MTNR1A	100
Perturbation	1	MTSS1	100
Perturbation	1	MTTP	100
Perturbation	1	MYCBP2	100
Perturbation	1	MYOCD	100
Perturbation	1	MYT1	100
Perturbation	1	NAA10	100
Perturbation	1	NCL	100
Perturbation	1	NCOA4	100
Perturbation	1	NCR3LG1	100
Perturbation	1	NDFIP1	100
Perturbation	1	NDFIP2	100
Perturbation	1	NDN	100
Perturbation	1	NDP	100
Perturbation	1	NECTIN2	100
Perturbation	1	NECTIN3	100
Perturbation	1	NEDD8	100
Perturbation	1	NEK1	100
Perturbation	1	NEK9	100
Perturbation	1	NF1	100
Perturbation	1	NFKBIE	100
Perturbation	1	NGLY1	100
Perturbation	1	NHEJ1	100
Perturbation	1	NHLRC1	100
Perturbation	1	NKD1	100
Perturbation	1	NLGN2	100
Perturbation	1	NLGN3	100
Perturbation	1	NMB	100
Perturbation	1	NMI	100
Perturbation	1	NMS	100
Perturbation	1	NMU	100
Perturbation	1	NOD1	100
Perturbation	1	NODAL	100
Perturbation	1	NOG	100
Perturbation	1	NPAT	100
Perturbation	1	NPB	100
Perturbation	1	NPFF	100
Perturbation	1	NPPA	100
Perturbation	1	NPPB	100
Perturbation	1	NPPC	100
Perturbation	1	NPS	100
Perturbation	1	NPVF	100
Perturbation	1	NPW	100
Perturbation	1	NPY	100
Perturbation	1	NR1D1	100
Perturbation	1	NR2F1	100
Perturbation	1	NRBF2	100
Perturbation	1	NRG1	100
Perturbation	1	NRG2	100
Perturbation	1	NRG3	100
Perturbation	1	NRG4	100
Perturbation	1	NRTN	100
Perturbation	1	NSD1	100
Perturbation	1	NSMCE3	100
Perturbation	1	NTF3	100
Perturbation	1	NTF4	100
Perturbation	1	NTN1	100
Perturbation	1	NTN3	100
Perturbation	1	NTNG2	100
Perturbation	1	NTS	100
Perturbation	1	NUMBL	100
Perturbation	1	NUP214	100
Perturbation	1	NUP50	100
Perturbation	1	NUTF2	100
Perturbation	1	OS9	100
Perturbation	1	OSM	100
Perturbation	1	OSTN	100
Perturbation	1	OTUB1	100
Perturbation	1	OXT	100
Perturbation	1	PAFAH1B1	100
Perturbation	1	PAIP2	100
Perturbation	1	PAK6	100
Perturbation	1	PAN3	100
Perturbation	1	PARD6G	100
Perturbation	1	PCBD1	100
Perturbation	1	PCOLCE	100
Perturbation	1	PCSK1	100
Perturbation	1	PCSK2	100
Perturbation	1	PCSK9	100
Perturbation	1	PDCD1LG2	100
Perturbation	1	PDCD6IP	100
Perturbation	1	PDGFA	100
Perturbation	1	PDGFB	100
Perturbation	1	PDGFC	100
Perturbation	1	PDGFD	100
Perturbation	1	PDIA3	100
Perturbation	1	PDK1	100
Perturbation	1	PDK2	100
Perturbation	1	PDK3	100
Perturbation	1	PDK4	100
Perturbation	1	PDP1	100
Perturbation	1	PDYN	100
Perturbation	1	PELI2	100
Perturbation	1	PENK	100
Perturbation	1	PEX10	100
Perturbation	1	PEX14	100
Perturbation	1	PEX3	100
Perturbation	1	PEX6	100
Perturbation	1	PF4	100
Perturbation	1	PGF	100
Perturbation	1	PHB	100
Perturbation	1	PHKG1	100
Perturbation	1	PHKG2	100
Perturbation	1	PHLPP2	100
Perturbation	1	PIAS1	100
Perturbation	1	PIAS2	100
Perturbation	1	PIAS3	100
Perturbation	1	PIAS4	100
Perturbation	1	PICK1	100
Perturbation	1	PIM1	100
Perturbation	1	PIM2	100
Perturbation	1	PIM3	100
Perturbation	1	PINK1	100
Perturbation	1	PKIA	100
Perturbation	1	PKNOX1	100
Perturbation	1	PKP2	100
Perturbation	1	PLAT	100
Perturbation	1	PLK2	100
Perturbation	1	PMCH	100
Perturbation	1	PNOC	100
Perturbation	1	POGZ	100
Perturbation	1	POLD1	100
Perturbation	1	POMC	100
Perturbation	1	POU2AF1	100
Perturbation	1	PPBP	100
Perturbation	1	PPFIA1	100
Perturbation	1	PPID	100
Perturbation	1	PPM1A	100
Perturbation	1	PPM1D	100
Perturbation	1	PPM1F	100
Perturbation	1	PPP1CB	100
Perturbation	1	PPP1R13L	100
Perturbation	1	PPP1R15A	100
Perturbation	1	PPP2CB	100
Perturbation	1	PPP2R1A	100
Perturbation	1	PPP2R1B	100
Perturbation	1	PPP2R2A	100
Perturbation	1	PPP2R5B	100
Perturbation	1	PPP2R5C	100
Perturbation	1	PPP4R3A	100
Perturbation	1	PPY	100
Perturbation	1	PREX2	100
Perturbation	1	PRKACB	100
Perturbation	1	PRKACG	100
Perturbation	1	PRKCG	100
Perturbation	1	PRKCH	100
Perturbation	1	PRKG1	100
Perturbation	1	PRKG2	100
Perturbation	1	PRKRA	100
Perturbation	1	PRL	100
Perturbation	1	PRLH	100
Perturbation	1	PRNP	100
Perturbation	1	PROK1	100
Perturbation	1	PROK2	100
Perturbation	1	PROS1	100
Perturbation	1	PSAP	100
Perturbation	1	PSMC3	100
Perturbation	1	PSPN	100
Perturbation	1	PTAFR	100
Perturbation	1	PTGIR	100
Perturbation	1	PTH	100
Perturbation	1	PTH2	100
Perturbation	1	PTHLH	100
Perturbation	1	PTK6	100
Perturbation	1	PTMA	100
Perturbation	1	PTPA	100
Perturbation	1	PTPN13	100
Perturbation	1	PTPN22	100
Perturbation	1	PTPRE	100
Perturbation	1	PTPRJ	100
Perturbation	1	PTPRT	100
Perturbation	1	PTPRU	100
Perturbation	1	PTX3	100
Perturbation	1	PUF60	100
Perturbation	1	PVR	100
Perturbation	1	PYY	100
Perturbation	1	QRFP	100
Perturbation	1	RAB1A	100
Perturbation	1	RAB3IP	100
Perturbation	1	RAB4A	100
Perturbation	1	RAB5C	100
Perturbation	1	RABEP1	100
Perturbation	1	RAC2	100
Perturbation	1	RAC3	100
Perturbation	1	RAD18	100
Perturbation	1	RAD51AP1	100
Perturbation	1	RAE1	100
Perturbation	1	RAET1E	100
Perturbation	1	RAET1G	100
Perturbation	1	RAET1L	100
Perturbation	1	RALB	100
Perturbation	1	RANBP1	100
Perturbation	1	RANBP2	100
Perturbation	1	RAP1GDS1	100
Perturbation	1	RAPGEF5	100
Perturbation	1	RARRES2	100
Perturbation	1	RASA4	100
Perturbation	1	RCOR1	100
Perturbation	1	RGS19	100
Perturbation	1	RGS4	100
Perturbation	1	RHOG	100
Perturbation	1	RHOU	100
Perturbation	1	RIMS1	100
Perturbation	1	RLN1	100
Perturbation	1	RLN2	100
Perturbation	1	RLN3	100
Perturbation	1	RNF135	100
Perturbation	1	RNF14	100
Perturbation	1	RNF146	100
Perturbation	1	RNF168	100
Perturbation	1	RNF4	100
Perturbation	1	RORC	100
Perturbation	1	RPGRIP1	100
Perturbation	1	RPH3A	100
Perturbation	1	RPL11	100
Perturbation	1	RPS19	100
Perturbation	1	RPS19BP1	100
Perturbation	1	RRAGC	100
Perturbation	1	RRAS2	100
Perturbation	1	RSF1	100
Perturbation	1	RSPO1	100
Perturbation	1	RSPO2	100
Perturbation	1	RSPO3	100
Perturbation	1	RSPO4	100
Perturbation	1	RTN4	100
Perturbation	1	RUBCN	100
Perturbation	1	S100A10	100
Perturbation	1	S100A9	100
Perturbation	1	S1PR2	100
Perturbation	1	SAA1	100
Perturbation	1	SCT	100
Perturbation	1	SEM1	100
Perturbation	1	SEMA3A	100
Perturbation	1	SEMA3B	100
Perturbation	1	SEMA3C	100
Perturbation	1	SEMA3E	100
Perturbation	1	SEMA3F	100
Perturbation	1	SEMA5A	100
Perturbation	1	SEMA6D	100
Perturbation	1	SEMA7A	100
Perturbation	1	SEPTIN12	100
Perturbation	1	SEPTIN4	100
Perturbation	1	SERPINA1	100
Perturbation	1	SERPINB9	100
Perturbation	1	SERPINC1	100
Perturbation	1	SERPINF2	100
Perturbation	1	SERTAD1	100
Perturbation	1	SETD7	100
Perturbation	1	SETDB1	100
Perturbation	1	SFPQ	100
Perturbation	1	SFRP1	100
Perturbation	1	SH3GLB1	100
Perturbation	1	SHOC2	100
Perturbation	1	SHPRH	100
Perturbation	1	SIK2	100
Perturbation	1	SIL1	100
Perturbation	1	SIM2	100
Perturbation	1	SIX1	100
Perturbation	1	SLIT1	100
Perturbation	1	SLIT2	100
Perturbation	1	SLX4	100
Perturbation	1	SMAD9	100
Perturbation	1	SMARCB1	100
Perturbation	1	SMG1	100
Perturbation	1	SMYD2	100
Perturbation	1	SOCS1	100
Perturbation	1	SOCS2	100
Perturbation	1	SOCS6	100
Perturbation	1	SORBS1	100
Perturbation	1	SOST	100
Perturbation	1	SP3	100
Perturbation	1	SPAG9	100
Perturbation	1	SPATA13	100
Perturbation	1	SPDYA	100
Perturbation	1	SPOP	100
Perturbation	1	SPP1	100
Perturbation	1	SPRY1	100
Perturbation	1	SPRY4	100
Perturbation	1	SPX	100
Perturbation	1	SRPK1	100
Perturbation	1	SRPK2	100
Perturbation	1	SRSF7	100
Perturbation	1	SST	100
Perturbation	1	STK24	100
Perturbation	1	STRN	100
Perturbation	1	STUB1	100
Perturbation	1	STXBP4	100
Perturbation	1	STYX	100
Perturbation	1	SUN2	100
FOXM1	1	CCNB1	100
Perturbation	1	SUV39H1	100
Perturbation	1	SYT1	100
Perturbation	1	TAC1	100
Perturbation	1	TAC3	100
Perturbation	1	TAC4	100
Perturbation	1	TADA3	100
Perturbation	1	TAF7	100
Perturbation	1	TAOK2	100
Perturbation	1	TAX1BP1	100
Perturbation	1	TBL1X	100
FOXM1	1	CDC25B	100
Perturbation	1	TCL1A	100
Perturbation	1	TESK2	100
Perturbation	1	TFDP2	100
Perturbation	1	TGFA	100
Perturbation	1	TGIF1	100
Perturbation	1	TGM2	100
Perturbation	1	THEM4	100
Perturbation	1	THPO	100
Perturbation	1	TIMP2	100
Perturbation	1	TIMP3	100
Perturbation	1	TLE5	100
Perturbation	1	TLK2	100
Perturbation	1	TLR3	100
Perturbation	1	TLR5	100
Perturbation	1	TLR7	100
Perturbation	1	TLR9	100
Perturbation	1	TNC	100
Perturbation	1	TNFSF12	100
Perturbation	1	TNFSF13	100
Perturbation	1	TNFSF14	100
Perturbation	1	TNFSF15	100
Perturbation	1	TNFSF18	100
Perturbation	1	TNFSF4	100
Perturbation	1	TNFSF8	100
Perturbation	1	TNFSF9	100
Perturbation	1	TNIP2	100
Perturbation	1	TNKS2	100
Perturbation	1	TNPO1	100
Perturbation	1	TOLLIP	100
Perturbation	1	TP53BP2	100
Perturbation	1	TP53RK	100
Perturbation	1	TRAF3IP2	100
Perturbation	1	TRH	100
Perturbation	1	TRIM25	100
Perturbation	1	TRIM33	100
Perturbation	1	TRPM6	100
Perturbation	1	TRRAP	100
Perturbation	1	TSG101	100
Perturbation	1	TSHB	100
Perturbation	1	TSLP	100
Perturbation	1	TTBK1	100
Perturbation	1	TXK	100
Perturbation	1	UBE2D3	100
Perturbation	1	UBE2T	100
Perturbation	1	UBQLN1	100
Perturbation	1	UBXN8	100
Perturbation	1	UCHL1	100
Perturbation	1	UCN	100
Perturbation	1	UCN2	100
Perturbation	1	UCN3	100
Perturbation	1	UHMK1	100
Perturbation	1	UHRF1	100
Perturbation	1	UIMC1	100
Perturbation	1	ULBP1	100
Perturbation	1	ULBP2	100
Perturbation	1	ULBP3	100
Perturbation	1	UPF2	100
Perturbation	1	UPF3B	100
Perturbation	1	USP1	100
Perturbation	1	USP28	100
Perturbation	1	USP6NL	100
Perturbation	1	USP7	100
Perturbation	1	UTS2	100
Perturbation	1	UTS2B	100
Perturbation	1	VAC14	100
Perturbation	1	VAV3	100
Perturbation	1	VCPIP1	100
Perturbation	1	VDAC2	100
Perturbation	1	VEGFB	100
Perturbation	1	VEGFC	100
Perturbation	1	VEGFD	100
Perturbation	1	VHL	100
Perturbation	1	VIP	100
Perturbation	1	VMP1	100
Perturbation	1	VRK2	100
Perturbation	1	VRK3	100
Perturbation	1	WIF1	100
Perturbation	1	WNK3	100
Perturbation	1	WNT10B	100
Perturbation	1	WNT2	100
Perturbation	1	WNT3	100
Perturbation	1	WNT5A	100
Perturbation	1	WNT8A	100
Perturbation	1	WNT9B	100
Perturbation	1	XAF1	100
Perturbation	1	XCL1	100
Perturbation	1	XCL2	100
Perturbation	1	XRCC5	100
Perturbation	1	XRCC6	100
Perturbation	1	ZFPM2	100
Perturbation	1	ZNF76	100
Perturbation	1	ZYX	100
HIPK2	1	CTBP1	100
ABL1	1	YAP1	100
ABL1	1	PRKCD	100
MAPK14	1	DUSP1	100
MAPK14	1	FOS	100
MAPK14	1	USF1	100
CSNK2A1	1	CDK1	100
STAT3	1	SRC	100
HIPK2	1	PML	100
TP73	1	BBC3	100
MYC	1	CDKN2A	100
SP1	1	CDKN1A	100
GSK3B	-1	HSF1	100
RELA	1	CREBBP	100
ABL1	1	RAD51	100
ABL1	1	PSMA7	100
ABL1	1	PRKD1	100
ABL1	1	PLSCR1	100
ABL1	1	PDGFRB	100
ABL1	1	NFKBIA	100
ABL1	1	MUC1	100
ABL1	1	NCK1	100
ABL1	1	JAK2	100
ABL1	1	MDM2	100
ABL1	1	ESR1	100
ABL1	1	RACK1	100
ABL1	1	EGFR	100
ABL1	1	DNM2	100
ABL1	1	CTTN	100
MAPK14	1	MAPKAPK5	100
ABL1	1	CBL	100
ESR1	1	PGR	100
ABL1	1	CAV1	100
ABL1	1	CRKL	100
ABL1	1	CTNNB1	100
ABL1	1	WASF2	100
ABL1	1	WASF3	100
ABL1	1	SOS1	100
ABL1	1	SORBS2	100
ABL1	1	SHC1	100
ABL1	1	ROBO1	100
ABL1	1	RAD9A	100
ABL1	1	PXN	100
ABL1	1	RAPGEF1	100
ABL1	1	PTPN6	100
GSK3B	-1	CCNE1	100
ESR1	1	CCND1	100
CALM1	1	DAPK1	100
SMAD3	-1	TGFBR1	100
HSP90AA1	1	AKT1	100
HSP90AA1	1	RAF1	100
HSP90AA1	1	SRC	100
MAPK14	-1	MAPK3	100
MAPK3	1	RAF1	100
MAPK3	1	RPS6KA1	100
GSK3B	1	AKT1	100
NFE2L2	-1	KEAP1	100
MAPK3	1	STAT3	100
RB1	-1	E2F3	100
RB1	-1	E2F2	100
MYC	-1	ZBTB17	100
ARNTL	-1	CLOCK	100
MAPK3	1	SOS1	100
MAPK3	1	ELK1	100
RPS6KA1	1	FOS	100
STAT5A	-1	JAK3	100
MAPK3	1	ELK4	100
MAPK3	1	SMAD1	100
MAPK3	1	RPS6KA4	100
MAPK3	1	DUSP6	100
MAPK3	1	SMAD3	100
MAPK3	1	SMAD2	100
MAPK14	-1	TAB1	100
MAPK3	1	STAT5A	100
GSK3B	1	SMAD3	100
MAPK3	1	MYC	100
PDGFRB	1	PDGFRA	100
PDGFRB	1	SHC1	100
PDGFB	1	PDGFRA	100
RPS6KA1	1	RPTOR	100
MAPK3	1	MAP2K1	100
MAPK3	1	RPS6KA3	100
RPS6KA1	1	MAPK1	100
GSK3B	1	SUFU	100
MAPK14	-1	DUSP16	100
MAPK3	1	DAPK1	100
GSK3B	1	JUN	100
MAPK3	1	TAL1	100
MAPK3	1	MKNK2	100
MAPK3	1	MKNK1	100
MAPK3	1	DUSP1	100
DUSP10	1	MAPK8	100
RPS6KA1	1	GSK3B	100
MAPK3	1	ETS1	100
E2F3	1	CDKN2A	100
SUMO1	1	PML	100
GSK3B	1	MARK2	100
GSK3B	1	SMAD1	100
PDGFRB	1	PLCG1	100
PDGFRB	1	PTPN11	100
PDGFRB	1	NCK1	100
PDGFRB	1	RASA1	100
PDGFRB	1	CRK	100
PDGFRB	1	NCK2	100
PRKCD	1	NCF1	100
MAPK3	1	FOS	100
CALM1	1	MYLK	100
CALM1	1	PDE1A	100
CAMK2A	1	GRIA1	100
CALM1	1	CAMK2A	100
CALM1	1	IQGAP1	100
RPS6KA1	1	CREB1	100
CALM1	1	CAMK4	100
CALM1	1	PPP3R1	100
CAMK2A	1	NOS1	100
CALM1	1	EEF2K	100
CALM1	1	CAMKK2	100
CAMK2A	1	CREB1	100
CTNNB1	-1	CREBBP	100
PIK3CA	1	GAB1	100
CAMK2A	1	SYNGAP1	100
MAPK14	-1	NFATC1	100
CALM1	1	RYR1	100
CALM1	1	RIT2	100
GSK3B	1	AXIN1	100
GSK3B	1	KAT5	100
PRKCD	1	NFE2L2	100
MAPK14	-1	NFKBIA	100
GSK3B	1	LRP6	100
RELA	-1	NCOR2	100
RELA	-1	NFKBIA	100
MAPK3	1	RPS6KA2	100
PRKCD	1	STAT1	100
MAPK14	-1	EEF2K	100
MAPK14	-1	BCL2L11	100
MAPK14	-1	BCL2	100
MAPK14	-1	CDC25C	100
MAPK14	-1	PTPN7	100
MAPK14	-1	GSK3B	100
MAPK14	-1	CASP3	100
MAPK14	-1	EIF4EBP1	100
MAPK14	-1	KHSRP	100
GSK3B	1	CCND1	100
GSK3B	1	MYC	100
SIL1	1	HSPA5	100
HIPK2	-1	HMGA1	100
NLK	-1	TCF4	100
CAMK2A	1	TH	100
CAMK2A	1	EGFR	100
CAMK2A	1	ALOX5	100
CAMK2A	1	MAPT	100
CAMK2A	1	SRF	100
CAMK2A	1	CD44	100
CAMK2A	1	STMN1	100
CAMK2A	1	ITPKA	100
CAMK2A	1	HSF1	100
CAMK2A	1	GRIN2B	100
CAMK2A	1	PEA15	100
CSNK2A1	-1	SLBP	100
MAPK3	1	LRP6	100
MAPK3	1	PTPN7	100
MAPK3	1	RUNX2	100
MAPK3	1	UBTF	100
PDGFB	1	PDGFRB	100
PRKCD	1	ITGB2	100
MAPK3	1	MAP2K2	100
CTNND1	1	CDH1	100
CTNND1	1	EGFR	100
PRKCD	1	RPS3	100
CDK2	-1	MCM4	100
MAPK3	1	LCK	100
RB1	-1	UBTF	100
CTNND1	1	SRC	100
PIK3CA	1	HRAS	100
HSP90AA1	1	AR	100
HSP90AA1	1	NOS3	100
JAK2	-1	EZH2	100
MAPK14	-1	FGFR1	100
CDK2	-1	TK1	100
CDK2	-1	NPM1	100
CDK2	-1	SMAD3	100
CDK2	-1	RBL2	100
CDK2	-1	TFCP2	100
CDK2	-1	SIRT2	100
CDK2	-1	FZR1	100
MAPK3	1	ESR1	100
MAPK3	1	TP53	100
MAPK3	1	JUN	100
MAPK3	1	SP1	100
MAPK3	1	BCL2	100
MAPK3	1	NCF1	100
MAPK3	1	STMN1	100
MAPK3	1	MAPKAPK2	100
MAPK3	1	GRB10	100
MAPK9	-1	TOB1	100
GSK3B	1	TP53	100
MAPK9	-1	NFATC2	100
CSNK2A1	-1	HSP90AB1	100
CSNK2A1	-1	CDC34	100
CSNK2A1	-1	SSRP1	100
CSNK2A1	-1	FAF1	100
TFDP1	1	E2F1	100
PRKCD	1	BAG3	100
PRKCD	1	SMPD1	100
PRKCD	1	PTPRA	100
PRKCD	1	TNNI3	100
PRKCD	1	SHC1	100
PRKCD	1	SDC4	100
PRKCD	1	STAT3	100
PRKCD	1	DAB2	100
PTPRJ	1	SRC	100
USF1	-1	FOSL1	100
CDK2	-1	CCP110	100
E2F3	1	TFDP1	100
JAK2	-1	PRMT5	100
CTNND1	1	CDH5	100
ABL1	-1	PRKN	100
ABL1	-1	MYOD1	100
ABL1	-1	CDKN1B	100
ABL1	-1	BTK	100
HSP90AA1	1	PPP5C	100
PDGFRB	1	FYN	100
PDGFRB	1	SRC	100
PDGFRB	1	GRB2	100
CALM1	1	PPP3CB	100
CALM1	1	NOS3	100
CALM1	1	PPP3CC	100
CALM1	1	PPP3CA	100
SPI1	1	IRF8	100
GATA2	-1	SPI1	100
CDK2	-1	TP73	100
CDK2	-1	MYOD1	100
CDK2	-1	HMGA1	100
CDK2	-1	GRK2	100
CDK2	-1	PPP1CA	100
CDK2	-1	ID2	100
MAPK3	1	EGFR	100
MAPK3	1	TH	100
MAPK3	1	ATF2	100
MAPK3	1	CAPN2	100
MAPK3	1	RXRA	100
MAPK3	1	RPS3	100
MAPK3	1	RPS6KB1	100
MAPK3	1	GRK2	100
MAPK3	1	CAD	100
MAPK3	1	CIITA	100
MAPK3	1	SREBF1	100
MAPK3	1	PLA2G4A	100
MAPK3	1	RCAN1	100
MAPK3	1	ADAM17	100
MAPK3	1	H3_3A	100
MAPK3	1	HSF1	100
MAPK3	1	MCL1	100
MAPK3	1	CTTN	100
MAPK3	1	KARS1	100
MAPK3	1	PTPRR	100
MAPK3	1	TWIST1	100
MAPK3	1	RPTOR	100
MAPK3	1	ARHGEF2	100
MAPK3	1	SPHK1	100
MAPK3	1	HSPB8	100
TWIST1	-1	CDH1	100
CTNNB1	-1	PPARG	100
GSK3B	1	FRAT2	100
RBL2	1	E2F5	100
RB1	-1	E2F1	100
MAPK9	-1	CDC25C	100
RBL2	1	E2F4	100
GSK3B	1	ESR1	100
GSK3B	1	CDH1	100
GSK3B	1	CEBPB	100
GSK3B	1	NFKB1	100
GSK3B	1	APC	100
GSK3B	1	PPP1R2	100
GSK3B	1	NOTCH1	100
GSK3B	1	CEBPA	100
GSK3B	1	TSC2	100
GSK3B	1	ACLY	100
GSK3B	1	RCAN1	100
GSK3B	1	ATXN3	100
GSK3B	1	PRKCE	100
GSK3B	1	RELA	100
GSK3B	1	NOTCH2	100
GSK3B	1	BAX	100
GSK3B	1	NIFK	100
GSK3B	1	DROSHA	100
GSK3B	1	FBXO4	100
CSNK2A1	-1	HMGN1	100
CSNK2A1	-1	JUN	100
CSNK2A1	-1	HNRNPC	100
CSNK2A1	-1	CALM1	100
CSNK2A1	-1	MYB	100
CSNK2A1	-1	F5	100
FOXO1	1	G6PC1	100
CSNK2A1	-1	PTEN	100
CSNK2A1	-1	MAX	100
CSNK2A1	-1	SPTBN1	100
CSNK2A1	-1	NR1H3	100
CSNK2A1	-1	G3BP1	100
CSNK2A1	-1	EIF4EBP1	100
CSNK2A1	-1	TELO2	100
CSNK2A1	-1	CTDP1	100
SMAD3	-1	RUNX2	100
PRKCD	1	DNM1L	100
PRKCD	1	TP53	100
PRKCD	1	KRT8	100
PRKCD	1	SRC	100
PRKCD	1	PEBP1	100
PRKCD	1	IRS1	100
PRKCD	1	HNRNPK	100
PRKCD	1	PRKD1	100
PRKCD	1	PPP1R14B	100
PRKCD	1	PLSCR3	100
PRKCD	1	PA2G4	100
PTPRJ	1	EGFR	100
CBFB	1	RUNX1	100
MAPK3	1	CEBPB	100
TFDP1	1	E2F2	100
RPS6KA1	1	EIF4B	100
RPS6KA1	1	MITF	100
RPS6KA1	1	ESR1	100
RPS6KA1	1	SLC9A1	100
RPS6KA1	1	ETV1	100
RPS6KA1	1	RPS6	100
RPS6KA1	1	H3_3A	100
RPS6KA1	1	PPP1R3A	100
MAPK3	1	RPS6KA5	100
MAPK9	-1	NFATC4	100
CDK2	-1	NR1I2	100
CAMK2A	1	RYR2	100
PRKCD	1	CARD9	100
PIK3CA	1	RPS6KB1	100
NLK	-1	SMAD4	100
PTPRJ	1	CTNND1	100
RB1	-1	CCND1	100
RPS6KA1	1	NR4A1	100
STAT1	-1	CREBBP	100
RPS6KA1	1	SRF	100
CDK2	-1	E2F1	100
JAK2	-1	IGF1R	100
PDGFRB	1	PIK3R1	100
FOXO1	1	AR	100
FOXO1	1	IGFBP1	100
MAPK3	1	CREB1	100
STAT3	-1	AR	100
CALM1	1	CAMK2G	100
RELA	-1	NR3C1	100
ATF4	-1	CREBBP	100
RB1	-1	MDM2	100
PIK3CA	1	AKT1	100
HSP90AA1	1	AHR	100
RB1	-1	TAF1	100
PDGFRB	1	STAT5A	100
HSF1	-1	SUMO1	100
CALM1	1	CAMK2D	100
CALM1	1	CAMK2B	100
CALM1	1	CAMK1	100
SMAD3	-1	ZEB1	100
FOXA1	-1	AR	100
HSP90AA1	1	BIRC5	100
ESR1	-1	FOXO1	100
STAT3	-1	HIF1A	100
NLK	-1	TCF7L2	100
MYC	-1	CDKN1A	100
DNAJC7	-1	HSP90AA1	100
PDGFRB	1	PIK3CA	100
PIK3CA	1	PRKCD	100
PDGFRB	1	STAT1	100
MAPK3	1	HIF1A	100
GSK3B	1	GLI3	100
CDK2	-1	CDKN1A	100
CCNH	1	CDK7	100
Perturbation	-1	A2M	100
Perturbation	-1	ABRAXAS1	100
Perturbation	-1	ACD	100
Perturbation	-1	ACVR1C	100
Perturbation	-1	ADAM10	100
Perturbation	-1	ADAM9	100
Perturbation	-1	ADAMTS4	100
Perturbation	-1	ADIPOQ	100
Perturbation	-1	ADM	100
Perturbation	-1	ADM2	100
Perturbation	-1	ADORA1	100
Perturbation	-1	ADRA2A	100
Perturbation	-1	ADRM1	100
Perturbation	-1	AGRN	100
Perturbation	-1	AGRP	100
Perturbation	-1	AHSP	100
Perturbation	-1	AIP	100
Perturbation	-1	AKAP5	100
CDK2	-1	RB1	100
Perturbation	-1	AMH	100
Perturbation	-1	ANGPT1	100
Perturbation	-1	ANGPT2	100
Perturbation	-1	ANGPT4	100
Perturbation	-1	ANGPTL1	100
Perturbation	-1	ANP32A	100
Perturbation	-1	AP2M1	100
Perturbation	-1	AP2S1	100
Perturbation	-1	APBA1	100
Perturbation	-1	APC_AXIN1_GSK3B	100
Perturbation	-1	APC2	100
Perturbation	-1	APELA	100
Perturbation	-1	APLF	100
Perturbation	-1	APLN	100
Perturbation	-1	APOE	100
Perturbation	-1	AREG	100
Perturbation	-1	ARFGAP1	100
Perturbation	-1	ARHGAP1	100
Perturbation	-1	ARHGAP26	100
Perturbation	-1	ARHGEF28	100
Perturbation	-1	ARHGEF3	100
Perturbation	-1	ARTN	100
Perturbation	-1	ARVCF	100
Perturbation	-1	ASAP2	100
Perturbation	-1	ASF1B	100
Perturbation	-1	ASIP	100
Perturbation	-1	ATG101	100
Perturbation	-1	ATG14	100
Perturbation	-1	ATG4B	100
Perturbation	-1	AVP	100
Perturbation	-1	B2M	100
Perturbation	-1	BACE2	100
Perturbation	-1	BAG1	100
Perturbation	-1	BAG4	100
Perturbation	-1	BAG6	100
Perturbation	-1	BAZ1B	100
Perturbation	-1	BBS4	100
Perturbation	-1	BCCIP	100
Perturbation	-1	BCKDK	100
Perturbation	-1	BCL3	100
Perturbation	-1	BCOR	100
Perturbation	-1	BDNF	100
Perturbation	-1	BLK	100
Perturbation	-1	BMI1	100
Perturbation	-1	BMP10	100
Perturbation	-1	BMP15	100
Perturbation	-1	BMP6	100
Perturbation	-1	BMP7	100
Perturbation	-1	BNIP2	100
Perturbation	-1	BRIP1	100
Perturbation	-1	BRSK1	100
Perturbation	-1	BTC	100
Perturbation	-1	BTG2	100
Perturbation	-1	BTRC	100
Perturbation	-1	C5	100
Perturbation	-1	C8A	100
Perturbation	-1	CALCA	100
Perturbation	-1	CALCB	100
Perturbation	-1	CAMK1G	100
Perturbation	-1	CAMP	100
Perturbation	-1	CAND1	100
Perturbation	-1	CAPNS1	100
Perturbation	-1	CARD17	100
Perturbation	-1	CARD18	100
Perturbation	-1	CAST	100
Perturbation	-1	CBFB	100
Perturbation	-1	CBLL1	100
Perturbation	-1	CBX3	100
Perturbation	-1	CBY1	100
Perturbation	-1	CCK	100
Perturbation	-1	CCL1	100
Perturbation	-1	CCL11	100
Perturbation	-1	CCL13	100
Perturbation	-1	CCL14	100
Perturbation	-1	CCL15	100
Perturbation	-1	CCL16	100
Perturbation	-1	CCL17	100
Perturbation	-1	CCL18	100
Perturbation	-1	CCL19	100
Perturbation	-1	CCL2	100
Perturbation	-1	CCL20	100
Perturbation	-1	CCL21	100
Perturbation	-1	CCL22	100
Perturbation	-1	CCL23	100
Perturbation	-1	CCL24	100
Perturbation	-1	CCL25	100
Perturbation	-1	CCL26	100
Perturbation	-1	CCL27	100
Perturbation	-1	CCL28	100
Perturbation	-1	CCL3	100
Perturbation	-1	CCL3L1	100
Perturbation	-1	CCL4	100
Perturbation	-1	CCL5	100
Perturbation	-1	CCL7	100
Perturbation	-1	CCL8	100
Perturbation	-1	CCN3	100
