Node1	Sign	Node2	Weight
CSNK2A1	1	EIF5	100
CSNK2A1	1	XRCC1	100
PRKCQ	1	IRS1	100
GSK3B	-1	PTEN	100
STAT1	1	KIT	100
IRF1	1	IRF8	100
CTNNB1	1	SRC	100
ABL1	1	TP73	100
JAK2	1	EGFR	100
CDK2	1	CHEK1	100
CDK2	1	PRKAR1A	100
CDK2	1	NFYA	100
CDK2	1	BRCA1	100
CDK2	1	RUNX1	100
CDK2	1	CDC6	100
CDK2	1	RRN3	100
MAPK3	-1	FGFR1	100
MAPK3	-1	GJA1	100
MAPK3	-1	POLR2A	100
MAPK3	-1	TOB1	100
MAPK9	1	H3_3A	100
MAPK9	1	NFATC3	100
ARNTL	1	CRY1	100
CSNK2A1	1	SSB	100
CSNK2A1	1	PTPRC	100
CSNK2A1	1	TOP2A	100
CSNK2A1	1	SRF	100
CSNK2A1	1	CDH1	100
CSNK2A1	1	ATF1	100
CSNK2A1	1	AKT1	100
CSNK2A1	1	SNCA	100
CSNK2A1	1	PPP1R2	100
CSNK2A1	1	MCM2	100
CSNK2A1	1	PSEN2	100
CSNK2A1	1	RELA	100
CSNK2A1	1	TLE1	100
CSNK2A1	1	PDCL	100
CSNK2A1	1	MDC1	100
CSNK2A1	1	PTGES3	100
CSNK2A1	1	HDAC2	100
TP73	1	MDM2	100
PRKCD	-1	EGFR	100
PRKCD	-1	ADRB2	100
PRKCD	-1	YWHAB	100
PRKCD	-1	GSK3A	100
ABL1	1	STK4	100
JAK2	1	RAF1	100
JAK2	1	CTLA4	100
JAK2	1	GTF2I	100
ABL1	1	AHSA1	100
ABL1	1	JUN	100
ABL1	1	DDX5	100
ABL1	1	PPARG	100
ABL1	1	RAD52	100
RPS6KA1	-1	TSC2	100
ABL1	1	RIN1	100
ABL1	1	LASP1	100
ABL1	1	MYLK	100
ABL1	1	MAP4K1	100
MAPK3	-1	TSC2	100
ESR1	1	PIK3R1	100
HSP90AA1	-1	NR3C1	100
ESR1	1	SRC	100
HIF1A	1	EGLN1	100
NFYA	1	SP1	100
CDK2	1	ESR1	100
HIF1A	1	EGLN3	100
CDK2	1	TP53	100
CDK2	1	PGR	100
CDK2	1	UBTF	100
CDK2	1	CEBPB	100
CDK2	1	CCNA2	100
CDK2	1	MCM3	100
CDK2	1	CDKN1B	100
CDK2	1	MCM2	100
CDK2	1	CDK7	100
CDK2	1	HIRA	100
CDK2	1	FOXM1	100
CDK2	1	SKP2	100
CDK2	1	ORC2	100
CDK2	1	EZH2	100
CDK2	1	RBBP8	100
MAPK3	-1	MBP	100
MAPK3	-1	NR3C1	100
MAPK3	-1	PGR	100
MAPK3	-1	IRS1	100
MAPK3	-1	ETV6	100
MAPK3	-1	LIFR	100
MAPK3	-1	CDKN1B	100
MAPK3	-1	CEBPA	100
MAPK3	-1	CASP9	100
MAPK3	-1	HNRNPK	100
MAPK3	-1	CALD1	100
MAPK3	-1	PDE4D	100
MAPK3	-1	CASP8	100
MAPK3	-1	BAD	100
MAPK3	-1	STMN2	100
NLK	1	MYB	100
