name,solution
nU770,0
nU771,0
nU772,0
nU773,1
nU774,0
nU775,0
nU776,0
nU777,0
nU778,0
nU779,0
nU780,0
nU781,0
nU782,0
nU783,0
nU784,0
nU785,0
nU786,0
nU787,0
nU788,0
nU789,0
nU790,0
nU791,0
nU792,0
nU793,0
nU794,0
nU795,0
nU796,0
nU797,0
nU798,0
nU799,0
nU800,0
nU801,0
nU802,0
nU803,0
nU804,0
nU805,0
nU806,0
nU807,0
nU808,0
nU809,0
nU810,0
nU811,0
nU812,0
nU813,0
nU814,0
nU815,0
nU816,0
nU817,0
nU818,1
nU819,0
nU820,0
nU821,0
nU822,0
nU823,0
nU824,0
nU825,0
nU826,0
nU827,0
nU828,0
nU829,0
nU830,0
nU831,0
nU832,0
nU833,0
nU834,0
nU835,0
nU836,0
nU837,0
nU838,0
nU839,0
nU840,0
nU841,0
nU842,0
nU843,0
nU844,0
nU845,0
nU846,0
nU847,0
nU848,0
nU849,0
nU850,0
nU851,0
nU852,0
nU853,0
nU854,0
nU855,0
nU856,0
nU857,0
nU858,0
nU859,0
nU860,0
nU861,0
nU862,0
nU863,0
nU864,0
nU865,0
nU866,0
nU867,0
nU868,0
nU869,0
nU870,0
nU871,0
nU872,0
nU873,0
nU874,0
nU875,0
nU876,0
nU877,0
nU878,0
nU879,0
nU880,0
nU881,0
nU882,0
nU883,0
nU884,0
nU885,0
nU886,0
nU887,0
nU888,0
nU889,0
nU890,0
nU891,0
nU892,0
nU893,0
nU894,0
nU895,0
nU896,0
nU897,0
nU898,0
nU899,0
nU900,0
nU901,0
nU902,0
nU903,0
nU904,0
nU905,0
nU906,0
nU907,0
nU908,0
nU909,0
nU910,0
nU911,0
nU912,0
nU913,0
nU914,0
nU915,0
nU916,0
nU917,0
nU918,0
nU919,0
nU920,0
nU921,0
nU922,0
nU923,0
nU924,0
nU925,0
nU926,0
nU927,0
nU928,0
nU929,0
nU930,1
nU931,0
nU932,0
nU933,0
nU934,0
nU935,0
nU936,0
nU937,0
nU938,0
nU939,0
nU940,0
nU941,0
nU942,0
nU943,0
nU944,0
nU945,0
nU946,0
nU947,0
nU948,0
nU949,0
nU950,0
nU951,0
nU952,0
nU953,0
nU954,0
nU955,0
nU956,0
nU957,0
nU958,0
nU959,0
nU960,0
nU961,0
nU962,0
nU963,0
nU964,0
nU965,0
nU966,0
nU967,0
nU968,0
nU969,0
nU970,0
nU971,0
nU972,0
nU973,0
nU974,0
nU975,0
nU976,0
nU977,0
nU978,0
nU979,0
nU980,0
nU981,0
nU982,0
nU983,0
nU984,0
nU985,0
nU986,0
nU987,0
nU988,0
nU989,0
nU990,0
nU991,0
nU992,0
nU993,0
nU994,0
nU995,0
nU996,0
nU997,0
nU998,0
nU999,0
nU1000,0
nU1001,0
nU1002,0
nU1003,0
nU1004,0
nU1005,0
nU1006,0
nU1007,0
nU1008,0
nU1009,0
nU1010,0
nU1011,0
nU1012,0
nU1013,0
nU1014,0
nU1015,0
nU1016,0
nU1017,0
nU1018,0
nU1019,0
nU1020,0
nU1021,0
nU1022,0
nU1023,0
nU1024,0
nU1025,0
nU1026,0
nU1027,0
nU1028,0
nU1029,0
nU1030,0
nU1031,0
nU1032,0
nU1033,0
nU1034,0
nU1035,0
nU1036,0
nU1037,0
nU1038,0
nU1039,0
nU1040,0
nU1041,0
nU1042,0
nU1043,0
nU1044,0
nU1045,0
nU1046,0
nU1047,0
nU1048,0
nU1049,0
nU1050,0
nU1051,0
nU1052,0
nU1053,0
nU1054,0
nU1055,0
nU1056,0
nU1057,0
nU1058,0
nU1059,0
nU1060,0
nU1061,0
nU1062,0
nU1063,0
nU1064,0
nU1065,0
nU1066,0
nU1067,0
nU1068,0
nU1069,0
nU1070,0
nU1071,0
nU1072,0
nU1073,0
nU1074,0
nU1075,0
nU1076,0
nU1077,0
nU1078,0
nU1079,0
nU1080,0
nU1081,0
nU1082,0
nU1083,0
nU1084,0
nU1085,0
nU1086,0
nU1087,0
nU1088,0
nU1089,0
nU1090,0
nU1091,0
nU1092,0
nU1093,0
nU1094,0
nU1095,0
nU1096,0
nU1097,0
nU1098,0
nU1099,0
nU1100,0
nU1101,0
nU1102,0
nU1103,0
nU1104,0
nU1105,0
nU1106,0
nU1107,0
nU1108,0
nU1109,0
nU1110,0
nU1111,0
nU1112,0
nU1113,0
nU1114,0
nU1115,0
nU1116,0
nU1117,0
nU1118,0
nU1119,0
nU1120,0
nU1121,0
nU1122,0
nU1123,0
nU1124,0
nU1125,0
nU1126,0
nU1127,0
nU1128,0
nU1129,0
nU1130,0
nU1131,0
nU1132,0
nU1133,0
nU1134,0
nU1135,0
nU1136,0
nU1137,0
nU1138,0
nU1139,0
nU1140,0
nU1141,0
nU1142,0
nU1143,0
nU1144,0
nU1145,0
nU1146,0
nU1147,0
nU1148,0
nU1149,0
nU1150,0
nU1151,0
nU1152,0
nU1153,0
nU1154,0
nU1155,0
nU1156,0
nU1157,0
nU1158,0
nU1159,0
nU1160,0
nU1161,0
nU1162,0
nU1163,0
nU1164,0
nU1165,0
nU1166,0
nU1167,0
nU1168,0
nU1169,0
nU1170,0
nU1171,0
nU1172,0
nU1173,0
nU1174,0
nU1175,0
nU1176,0
nU1177,0
nU1178,0
nU1179,0
nU1180,0
nU1181,0
nU1182,0
nU1183,0
nU1184,0
nU1185,0
nU1186,0
nU1187,0
nU1188,0
nU1189,0
nU1190,0
nU1191,0
nU1192,0
nU1193,0
nU1194,0
nU1195,0
nU1196,0
nU1197,0
nU1198,0
nU1199,0
nU1200,0
