Node	ZeroAct	UpAct	DownAct	AvgAct	nodesType
PIM3	100	0	0	0	
TAX1BP1	100	0	0	0	
STING1	100	0	0	0	
VRK2	100	0	0	0	
HIPK1	100	0	0	0	
DAPK3	100	0	0	0	
VRK3	100	0	0	0	
SLX4	100	0	0	0	
SEPTIN12	100	0	0	0	
HACE1	100	0	0	0	
CDK20	100	0	0	0	
MYOCD	100	0	0	0	
SPART	100	0	0	0	
ARHGEF28	100	0	0	0	
PELI3	100	0	0	0	
NRXN1	100	0	0	0	
RRAS	100	0	0	0	
STAG2	100	0	0	0	
CAMKK1	100	0	0	0	
NGEF	100	0	0	0	
HJURP	100	0	0	0	
CCNY	100	0	0	0	
NOXO1	100	0	0	0	
NLGN2	100	0	0	0	
KNL1	100	0	0	0	
UHMK1	100	0	0	0	
NPLOC4	100	0	0	0	
RAF1	100	0	0	0	
LNX1	100	0	0	0	
PREX1	100	0	0	0	
MAPK15	100	0	0	0	
NEK9	100	0	0	0	
BRSK1	100	0	0	0	
STYX	100	0	0	0	
ZFPM2	100	0	0	0	
JDP2	100	0	0	0	
SSH1	100	0	0	0	
TCAP	100	0	0	0	
ROCK1	100	0	0	0	
TTN	100	0	0	0	
SHC3	100	0	0	0	
RAPGEF5	100	0	0	0	
PIK3R3	100	0	0	0	
LPAR1	100	0	0	0	
NECTIN2	100	0	0	0	
PLXNB1	100	0	0	0	
SEMA4D	100	0	0	0	
RAD50	100	0	0	0	
ARHGEF1	100	0	0	0	
MAPKAPK2	100	0	0	0	
TLN1	100	0	0	0	
FGF14	100	0	0	0	
TNPO1	100	0	0	0	
ARHGEF2	100	0	0	0	
KISS1R	100	0	0	0	
MRTFA	100	0	0	0	
FERMT2	100	0	0	0	
RAD51AP1	100	0	0	0	
SH3KBP1	100	0	0	0	
SGK3	100	0	0	0	
OPTN	100	0	0	0	
ATM	100	0	0	0	
AP2M1	100	0	0	0	
NTNG2	100	0	0	0	
NRBF2	100	0	0	0	
PELI1	100	0	0	0	
NGLY1	100	0	0	0	
WNK4	100	0	0	0	
VCPIP1	100	0	0	0	
CHAMP1	100	0	0	0	
RPGRIP1	100	0	0	0	
NSMCE3	100	0	0	0	
CHEK2	100	0	0	0	
SPATA13	100	0	0	0	
NEK1	100	0	0	0	
TRPM7	100	0	0	0	
TNFRSF13C	100	0	0	0	
UIMC1	100	0	0	0	
TP53RK	100	0	0	0	
TESK2	100	0	0	0	
SRPK1	100	0	0	0	
EYA1	100	0	0	0	
EYA3	100	0	0	0	
CHEK1	100	0	0	0	
NDN	100	0	0	0	
LPAR4	100	0	0	0	
MAP3K6	100	0	0	0	
DOK1	100	0	0	0	
NRTN	100	0	0	0	
SMO	100	0	0	0	
PRMT1	100	0	0	0	
PKP2	100	0	0	0	
SEMA3C	100	0	0	0	
FYCO1	100	0	0	0	
WNT5A	100	0	0	0	
NDFIP1	100	0	0	0	
DUSP26	100	0	0	0	
SORBS1	100	0	0	0	
MAP1LC3C	100	0	0	0	
WNK3	100	0	0	0	
UPF3B	100	0	0	0	
PRKD2	100	0	0	0	
ULBP2	100	0	0	0	
SPRY4	100	0	0	0	
WWTR1	100	0	0	0	
PUF60	100	0	0	0	
MFF	100	0	0	0	
NUAK2	100	0	0	0	
SIK2	100	0	0	0	
SIL1	0	0	100	-100	
LPAR5	100	0	0	0	
CARD9	100	0	0	0	
TNKS2	100	0	0	0	
HIPK3	100	0	0	0	
FZD8	100	0	0	0	
WNK1	100	0	0	0	
E2F3	0	0	100	-100	M
SAV1	100	0	0	0	
DEF6	100	0	0	0	
USP8	100	0	0	0	
RNF41	100	0	0	0	
PELI2	100	0	0	0	
UPF2	100	0	0	0	
RRAGC	100	0	0	0	
LPAR2	100	0	0	0	
NEK6	100	0	0	0	
PAK6	100	0	0	0	
CDKN2A	100	0	0	0	
GPHN	100	0	0	0	
ARHGEF4	100	0	0	0	
ARHGEF3	100	0	0	0	
DISC1	100	0	0	0	
LATS2	100	0	0	0	
ARHGAP35	100	0	0	0	
TOPORS	100	0	0	0	
RAD18	100	0	0	0	
RNF146	100	0	0	0	
NDFIP2	100	0	0	0	
UBE2T	100	0	0	0	
DACT1	100	0	0	0	
CDK12	100	0	0	0	
PLK2	100	0	0	0	
PSENEN	100	0	0	0	
NLGN3	100	0	0	0	
AHSP	100	0	0	0	
ARHGEF12	100	0	0	0	
PDP1	100	0	0	0	
PIM2	100	0	0	0	
PAK5	100	0	0	0	
SUMO1	0	0	100	-100	
GALP	100	0	0	0	
RPS6KB2	100	0	0	0	
LPAR3	100	0	0	0	
KDM5B	100	0	0	0	
SUN2	100	0	0	0	
CTNNA3	100	0	0	0	
ERRFI1	100	0	0	0	
AKAP11	100	0	0	0	
TLK1	100	0	0	0	
VAV3	100	0	0	0	
MAPK14	0	100	0	100	
MAP3K8	100	0	0	0	
VPS4A	100	0	0	0	
ARHGAP26	100	0	0	0	
STUB1	100	0	0	0	
BAIAP2	100	0	0	0	
MEF2A	100	0	0	0	
HDAC5	100	0	0	0	
LRRC4C	100	0	0	0	
NTNG1	100	0	0	0	
SIK3	100	0	0	0	
PTPN22	100	0	0	0	
IKBKB	100	0	0	0	
DYRK1B	100	0	0	0	
PRKAB1	100	0	0	0	
DAAM1	100	0	0	0	
GPSM3	100	0	0	0	
TNFRSF11A	100	0	0	0	
INSIG2	100	0	0	0	
SNX9	100	0	0	0	
STK24	100	0	0	0	
TSC1_TSC2	100	0	0	0	
APC_AXIN1_GSK3B	100	0	0	0	
RICTOR	100	0	0	0	
CHUK_IKBKB_IKBKG	100	0	0	0	
CCNE2_CDK2	100	0	0	0	
ITGAL_ITGB2	100	0	0	0	
CCND1_CDK4	100	0	0	0	
IFNAR1_IFNAR2	100	0	0	0	
CCNA2_CDK2	100	0	0	0	
KATNA1	100	0	0	0	
KATNB1	100	0	0	0	
TRH	100	0	0	0	
TRHR	100	0	0	0	
EIF4EBP2	100	0	0	0	
PCSK2	100	0	0	0	
PHKG2	100	0	0	0	
INSIG1	100	0	0	0	
SCAP	100	0	0	0	
MAGEA3	100	0	0	0	
MAGEC2	100	0	0	0	
ADAMTS4	100	0	0	0	
CDK9	100	0	0	0	
CCAR2	100	0	0	0	
SEPTIN4	100	0	0	0	
EIF4EBP1	100	0	0	0	
PKM	100	0	0	0	
PDK3	100	0	0	0	
CDK10	0	0	100	-100	
SOCS6	100	0	0	0	
CIT	100	0	0	0	
BCKDK	100	0	0	0	
KLF11	100	0	0	0	
LMO1	100	0	0	0	
NFKBIE	100	0	0	0	
PEX12	100	0	0	0	
EIF4EBP3	100	0	0	0	
PPP3CA	100	0	0	0	
PTH	100	0	0	0	
RNF8	100	0	0	0	
MRTFB	100	0	0	0	
SKP2	100	0	0	0	
SMAD9	100	0	0	0	
CDK4	100	0	0	0	
PAK3	100	0	0	0	
CDK6	100	0	0	0	
CDK7	100	0	0	0	
BCL10	100	0	0	0	
CTNND1	0	0	100	-100	
CFI	100	0	0	0	
PRKAA1	100	0	0	0	
AGTR1	100	0	0	0	
AHSA1	100	0	0	0	
HMGB1	100	0	0	0	
CDK8	100	0	0	0	
SEMA7A	100	0	0	0	
S1PR2	100	0	0	0	
COL2A1	100	0	0	0	
MAP3K14	100	0	0	0	
SOS2	100	0	0	0	
TNK2	100	0	0	0	
CD19	100	0	0	0	
MMP2	100	0	0	0	
GPI	100	0	0	0	
LRRC4B	100	0	0	0	
IRF1	0	100	0	100	M
IRF8	100	0	0	0	
PVR	100	0	0	0	
IDE	100	0	0	0	
TNFAIP3	100	0	0	0	
ITGB4	100	0	0	0	
PECAM1	100	0	0	0	
PPP3CB	100	0	0	0	
CLU	100	0	0	0	
MBL2	100	0	0	0	
PLD1	100	0	0	0	
ITGAM	100	0	0	0	
ITGB1BP1	100	0	0	0	
VASP	100	0	0	0	
CDH2	100	0	0	0	
TNIP1	100	0	0	0	
FST	100	0	0	0	
TRAF1	100	0	0	0	
RAB4A	100	0	0	0	
TAF1	100	0	0	0	
TBXA2R	100	0	0	0	
FGFR2	100	0	0	0	
FGFR4	100	0	0	0	
PRKACG	100	0	0	0	
PTPRE	100	0	0	0	
PRKCH	100	0	0	0	
JAK2	0	100	0	100	
CCNA2	100	0	0	0	
PTX3	100	0	0	0	
PLN	100	0	0	0	
YWHAQ	100	0	0	0	
MMP9	100	0	0	0	
MARK3	100	0	0	0	
PPP3CC	100	0	0	0	
SMARCA4	100	0	0	0	
BMX	100	0	0	0	
KPNA1	100	0	0	0	
RAP1GDS1	100	0	0	0	
IL22	100	0	0	0	
GTF2A2	100	0	0	0	
PRKAA2	100	0	0	0	
HDAC4	100	0	0	0	
WASL	100	0	0	0	
STXBP1	100	0	0	0	
RCAN1	100	0	0	0	
PPP2CB	100	0	0	0	
RAB1A	100	0	0	0	
SERPINC1	100	0	0	0	
SERPINA1	100	0	0	0	
EPO	100	0	0	0	
SIK1	100	0	0	0	
SKP1	100	0	0	0	
RELN	100	0	0	0	
ADAM17	100	0	0	0	
TFDP1	0	0	100	-100	M
SPP1	100	0	0	0	
PRKCE	100	0	0	0	
ITGB3	100	0	0	0	
PRKCI	100	0	0	0	
PTPN12	100	0	0	0	
HIPK2	0	100	0	100	
GNG2	100	0	0	0	
GNB1	100	0	0	0	
PTPRJ	0	0	100	-100	
PPP1R8	100	0	0	0	
TXK	100	0	0	0	
UBXN8	100	0	0	0	
UCHL1	100	0	0	0	
PRKG2	100	0	0	0	
USF1	0	100	0	100	M
VCAM1	100	0	0	0	
CXCL16	100	0	0	0	
CTBP1	100	0	0	0	
ZNF76	100	0	0	0	
TNFRSF25	100	0	0	0	
MNAT1	100	0	0	0	
SEMA3A	100	0	0	0	
DHPS	100	0	0	0	
TSHR	100	0	0	0	
PYGO1	100	0	0	0	
TNFRSF11B	100	0	0	0	
HAT1	100	0	0	0	
CASP1	100	0	0	0	
CASK	100	0	0	0	
MCF2L	100	0	0	0	
ARHGEF11	100	0	0	0	
NUAK1	100	0	0	0	
CCP110	100	0	0	0	
WIPF1	100	0	0	0	
STRN	100	0	0	0	
PHLPP1	100	0	0	0	
PSPN	100	0	0	0	
FZD7	100	0	0	0	
CCL3L1	100	0	0	0	
PEX14	100	0	0	0	
GMNN	100	0	0	0	
CDT1	100	0	0	0	
MYCBP2	100	0	0	0	
TRIO	100	0	0	0	
SLIT2	100	0	0	0	
CDK14	100	0	0	0	
TNKS	100	0	0	0	
TNFRSF6B	100	0	0	0	
ABCA1	100	0	0	0	
TNFRSF10C	100	0	0	0	
APOA1	100	0	0	0	
