,control0,perturbed0
BTF3P4,-0.004069813527166843,-0.004642050706024747
LINC00265-2P,-0.0040930090472102165,-0.010038685166121771
TOMM20P1,0.0,0.0016750395838850333
OR2X1P,0.0,0.000664820599460351
BTF3P9,-0.001971302554011345,-0.0019067485137687376
GCSHP5,0.18402640521526337,0.15833203269091123
MTND5P24,-0.0018303466495126486,-0.002788841672493921
RPL29P11,0.003281989134848118,-0.007473146333359182
GXYLT1P2,0.0,0.00018127454483571153
YBX1P1,-0.027638807892799377,-0.024165060759696644
USP9YP25,-0.00022480287589132786,-0.0018108552302389094
MTCYBP29,0.0,0.0
RPS4XP16,-0.0031012396793812513,-0.028571109737580022
VPS26BP1,0.001685254741460085,-0.0003454491185645261
SIGLEC30P,0.0,0.0
GAGE12H,0.0,0.0
TIMM8BP2,-0.0007232722127810121,0.0004472768021514639
APOC4-APOC2,0.273817241191864,0.2310276928047339
TACC1P1,-0.00011371890286682174,-0.0021722278567419076
NDUFA5P10,-0.0004992687609046698,0.001308586838422343
KRT8P30,-0.006366390734910965,-0.006356039104624263
PRRT4,0.022021321579813957,0.009601831265414754
VN1R25P,0.0,0.0
SRIP3,-0.0008363594533875585,0.0002453646648064023
KCTD10P1,0.0,0.0
PSAT1P4,-0.0020073899067938328,-0.004185991894519248
TRAPPC2P3,0.0,0.0
TBC1D3P6,0.0,0.0
SUMO2P3,-0.0010359642328694463,-0.0012010513774536472
PARP4P2,0.01488895621150732,0.011188780695859653
RPL23AP85,-0.002135987626388669,0.0010296363132511034
TMEM233,-0.41686683893203735,-0.3688361263523499
PPP1R8P1,0.0015148946549743414,0.0036265807148690024
RPL29P12,0.018074536696076393,0.016491107642650604
VTA1P1,-0.0012497291900217533,-0.0005484373923536623
OR51A5P,0.0,0.0
KCTD9P1,-0.0030576770659536123,-0.0031028555958376577
UBE2D3P1,-0.003036745125427842,-0.0038996787227612607
KIF4CP,-0.0028612257447093725,-0.0027927563229847388
IFNWP4,0.0,-0.0014731287893179493
EIF4BP7,-0.013586197979748249,-0.021604855793217817
RPL18AP2,-0.013171818107366562,-0.010054539640744528
MTND5P27,-0.0011961079435423017,-0.0014970722591291026
PRPF38AP1,-0.0010330313816666603,-0.028569938925405342
RPL23AP2,-0.03607094660401344,-0.03643482927206302
OR7E116P,-0.002275498816743493,-0.0038309556170133875
FTH1P22,-0.013544716872274876,-0.011750666242248069
PFN1P4,-0.002307754708454013,-0.0007003492908552289
DAP3P1,-0.009509935975074768,-0.010832113949678993
RPL3P7,-0.0006095360149629414,0.0012380150845274329
SETP20,-0.0017153668450191617,-0.0012968758897234996
BCRP1,0.0029525214340537786,0.0004704180910872916
ATP6V1E1P1,-0.0008960259729065001,8.150450400232017e-05
DPY19L2P5,0.0,-0.0018211499838495608
OR52K3P,-0.2228689342737198,-0.2215362799341771
ZBTB45P1,-0.006552995648235083,-0.0065661791576227795
ARSDP1,0.005373480264097452,0.0028065265272744
EEF1B2P5,-0.001486652297899127,-0.00011773661038508494
RPL23AP36,0.0,4.8895494546741244e-05
RANP4,0.03408026695251465,0.04242016631178558
PSME2P2,0.007186748553067446,-0.0010140246090789631
MORF4L1P4,0.0009449049248360097,-0.000720595348199519
DYNC1I2P1,-0.0156810712069273,-0.013496571745296629
RPS12P10,-0.0006109643145464361,-0.0015502751232512916
GOLGA2P7,-0.16580145061016083,-0.21018822975456714
TOMM22P5,-0.0008522733696736395,-0.0011711625067012694
HSPE1P24,-0.0043179369531571865,-0.0035235736603378125
NPM1P39,0.017928389832377434,0.02238842413450281
TXNP2,-0.0017274111742153764,-0.0013646798635212083
BRI3P1,-0.003414915408939123,-0.0032181907058353924
DUTP6,0.012551968917250633,0.014460180027526803
REREP1Y,0.0,0.0
ZNF33BP1,0.0002847796131391078,0.0028053143449748557
RPS12P26,-0.014330685138702393,-6.478472302357333e-05
SSXP3,-0.003384276991710067,-0.0032050571074554077
DUXAP9,-0.34280166029930115,-0.3802202656554679
AKR1B1P6,0.00554244639351964,0.004945837545286243
SMARCE1P1,-0.015109644271433353,-0.014981014779944719
HSPA7,-0.02141762524843216,-0.17825796206792197
PLA2G12AP2,0.0,0.0004382561724317687
CHCHD4P5,0.0,0.0018188822476076893
ARL2BPP10,-0.0005706886295229197,-0.00012974395334216143
RPL21P107,-0.0008793370798230171,-0.00035078786028558775
COX6B1P7,0.0,0.0021741410785277066
RPS2P1,-0.004801217932254076,-0.003526307496940717
RPL5P25,-0.0033680784981697798,-0.004462848282128107
ARMC8P1,0.0,-0.0008508852695134313
TRAPPC2P5,0.0,0.000654824853942652
ST13P6,-0.00476267421618104,-0.0011867723223986104
ZNRF2P2,-0.07447011023759842,-0.08413776968761037
RPL8P2,-0.0015253872843459249,-0.0008883838323527016
CICP12,-0.00014007203571964055,0.004750771041532668
MTND1P18,0.0,0.0
OFD1P13Y,0.0,0.0
RPL29P29,0.0,0.0002858842699424713
OSTCP2,-0.003855691524222493,-0.00013190885874792002
MTND4P4,0.0,0.0
ASS1P11,0.026321377605199814,0.025025014612280454
DNAJC19P4,0.0,0.0004706305053938801
USP9YP19,0.0,0.0
HMGB3P1,0.0,-0.000255739335883239
RPL23AP18,-0.011110110208392143,-0.011057266000231417
RPL21P66,-0.0006505679339170456,-0.0013341962955261502
SNX18P3,-0.19147978723049164,-0.18952506978081754
SLC25A5P8,0.004334066994488239,0.0033190944251449157
RPL31P53,0.0,0.0
ARL6IP1P2,-0.00121146603487432,-0.004325814195908606
RPF2P1,-0.0011578896082937717,-0.000231716115619444
MIPEPP1,-0.005379034206271172,-0.006147864523033301
CT62,-0.005019722506403923,-0.008256019481147328
ATP6V0E1P1,0.0,-0.0001858893653358488
TDGF1P3,-0.025710050016641617,-0.008790104774137338
CICP8,0.0,0.0017105059863145773
IGKV1OR9-2,0.007980509661138058,0.006209050289665659
RPS5P7,-0.0012563732452690601,-0.001462620877282461
PGM5P4,0.015323348343372345,0.01341216365302292
RAB28P5,0.0,-0.0003701783144303287
TGIF2P1,-0.035344552248716354,-0.0403105090217044
RPL26P34,-0.0005400697700679302,-0.000693068055746456
RPS15AP17,0.0,0.0
AKR1C5P,-0.07374899834394455,-0.06920946056488901
RPL21P3,-0.021702241152524948,-0.013014826442425449
RBMS1P1,-0.004620975349098444,-0.0029432715130193778
