,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
METAP1D,0.076404184,0.050402187,0.4462875,-0.04444942,0.20393988,0.12783475,0.17930874,0.444225,-0.50960624,0.5078927,0.31796244,0.21938992,0.11834665,0.09234465,0.48823,-0.0025069565,0.24588235,0.16977721,0.2212512,0.4861675,-0.46766376,0.5498352,0.3599049,0.2613324
ZNF621,-0.5324193,-0.43711093,-0.12643465,-0.35213616,-0.2782106,-0.20598856,-0.48515832,-0.38243315,-0.24404067,-0.48259833,-0.25771186,-0.19536011,-0.534732,-0.4394236,-0.12874733,-0.35444883,-0.28052327,-0.20830123,-0.48747098,-0.3847458,-0.24635334,-0.484911,-0.26002452,-0.19767278
EGFL7,0.35054874,0.1665601,0.50134534,0.24885434,0.52484876,0.64289916,0.604403,0.54875124,0.57496464,0.23421083,0.10538819,0.22620542,0.33247903,0.14849037,0.48327562,0.23078461,0.506779,0.6248294,0.5863333,0.5306815,0.5568949,0.2161411,0.08731846,0.2081357
NADSYN1,0.17609881,0.12406707,0.32346904,0.113924906,0.17663215,0.45559856,0.15510362,0.1768928,0.15269145,-0.107316345,0.055089027,0.25029832,0.12270218,0.07067044,0.2700724,0.060528275,0.12323552,0.40220192,0.101707,0.123496175,0.09929483,-0.16071297,0.0016923957,0.1969017
DHCR7,0.7143309,0.7122587,0.81474745,0.76397777,0.84089637,0.61584866,0.71745664,0.8192323,0.9022873,0.6606861,0.32065135,0.73976874,0.5874669,0.5853947,0.68788344,0.63711375,0.71403235,0.48898464,0.5905926,0.69236827,0.7754233,0.53382206,0.19378732,0.6129047
NBEA,-1.4080197,-0.48551187,-0.93382454,-1.2196246,-1.2527206,-1.1834989,-0.44806197,-1.1408787,-1.2378432,-1.2608385,-1.1689333,-1.0187987,-1.347454,-0.42494616,-0.8732588,-1.1590589,-1.1921549,-1.1229331,-0.38749626,-1.080313,-1.1772774,-1.2002728,-1.1083676,-0.958233
RNASEH2C,-0.09461179,-0.7487714,-0.41313246,-0.6352576,-0.202886,-0.15499727,-0.65305084,-0.2918341,-0.3347282,-0.51557696,-0.72536415,-0.1578429,-0.1211014,-0.77526104,-0.43962207,-0.6617472,-0.22937562,-0.18148689,-0.67954046,-0.3183237,-0.36121783,-0.5420666,-0.75185376,-0.18433252
ANKRD13D,-0.6009431,-0.47234586,-0.16914289,-0.35709834,-0.10270403,-0.4298205,0.048814233,-0.13364798,-0.64917934,-0.087186955,-0.35892603,-0.2657681,-0.597342,-0.46874478,-0.16554183,-0.35349727,-0.099102974,-0.42621943,0.052415296,-0.13004692,-0.64557827,-0.083585896,-0.35532495,-0.26216704
MRGPRF,-0.6032231,-0.3063622,-0.5087665,-0.29640397,-0.31708542,-0.386863,0.06429051,-0.33390802,-0.48984712,-1.0650661,-0.6157358,-0.75187683,-0.6868361,-0.38997522,-0.59237945,-0.38001698,-0.40069842,-0.470476,-0.0193225,-0.41752103,-0.5734601,-1.1486791,-0.6993488,-0.83548987
MYD88,0.007070587,0.07145696,0.34876966,0.12581427,0.16564631,0.18399994,0.32193768,0.28240097,0.23161884,-0.11927641,0.2595818,0.12801395,-0.037589896,0.026796479,0.3041092,0.081153795,0.120985836,0.13933946,0.2772772,0.23774049,0.18695836,-0.1639369,0.21492133,0.083353475
