,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
RFLNB,-1.5427121,-2.0602863,-1.5653278,-1.8673222,-1.769065,-1.9187957,-1.1392909,-1.798381,-2.01136,-1.7222403,-1.5614622,-1.7115428,-1.717102,-2.2346764,-1.7397177,-2.0417123,-1.943455,-2.0931857,-1.3136809,-1.9727709,-2.18575,-1.8966303,-1.7358522,-1.8859329
C17orf97,-0.06062901,-0.16956614,-0.5482205,-0.3200989,-0.1951433,-0.7066709,-0.13207613,-0.23520193,-0.48567083,-0.7162213,-0.42468676,-0.5475075,0.03279405,-0.07614308,-0.45479745,-0.22667584,-0.101720236,-0.6132478,-0.03865307,-0.14177886,-0.39224777,-0.6227982,-0.3312637,-0.45408446
LDAF1,-1.223561,-1.5105462,-0.7642492,-0.9593006,-0.9663626,-1.1321887,-0.34633738,-1.2091868,-1.6293443,-1.0673629,-0.9157067,-1.4687153,-1.1662959,-1.453281,-0.70698404,-0.9020355,-0.90909743,-1.0749235,-0.28907225,-1.1519216,-1.5720792,-1.0100977,-0.8584416,-1.4114501
PLSCR3,-1.658009,-1.2867292,-1.1344243,-0.85304177,-1.2808317,-1.1808445,-0.77086824,-0.9949283,-1.8707032,-1.5000708,-1.2653077,-1.6832944,-1.7017429,-1.330463,-1.1781582,-0.89677554,-1.3245655,-1.2245784,-0.814602,-1.0386621,-1.914437,-1.5438046,-1.3090415,-1.7270283
PLCL2,0.13710861,0.32654452,0.40206754,0.41100702,0.30097747,0.24052118,0.113866344,0.4356902,0.13116893,0.25484943,0.5417291,0.5262968,0.15681882,0.34625474,0.42177776,0.43071723,0.32068768,0.26023138,0.13357656,0.4554004,0.15087914,0.27455965,0.5614393,0.546007
PRKAR2B,-0.31664926,0.10581355,-0.38851526,-0.4034214,-0.64426965,-0.5581632,-0.20748472,-0.10050279,-0.16439942,-0.10950363,-0.051841427,-0.2606364,-0.3521626,0.0703002,-0.4240286,-0.43893474,-0.679783,-0.59367657,-0.24299806,-0.13601613,-0.19991276,-0.14501697,-0.08735478,-0.29614973
DUS4L,-0.031051602,0.4473326,0.1018559,0.016002385,-0.3815184,0.30036554,-0.060078528,-0.010291241,-0.025716517,-0.30226237,0.42583135,0.35683212,-0.0831224,0.3952618,0.0497851,-0.03606841,-0.4335892,0.24829474,-0.11214933,-0.062362038,-0.07778731,-0.35433316,0.37376055,0.30476132
SMURF1,-0.42088243,-0.44923478,-0.16346177,-0.433285,-0.42051584,-0.36074704,-0.38295597,-0.15849087,-0.7372664,-0.22202136,-0.31154063,-0.29637533,-0.46323234,-0.49158466,-0.20581166,-0.47563487,-0.4628657,-0.4030969,-0.42530584,-0.20084076,-0.7796163,-0.26437125,-0.35389054,-0.3387252
LLGL1,-0.6487795,-0.4767731,-0.5048129,-0.54758626,-0.34708306,-0.5683,-0.19081594,-0.49888206,-0.7384122,-0.67627114,-0.5210508,-0.64604354,-0.6243523,-0.45234588,-0.48038566,-0.523159,-0.32265583,-0.5438728,-0.1663887,-0.47445482,-0.71398497,-0.6518439,-0.49662358,-0.6216163
EEF2K,-0.18776752,0.13145103,0.4132364,0.03939777,-0.09657677,-0.18744975,0.06788852,0.18683031,-0.120979294,-0.056268763,-0.018379675,0.31552437,-0.20154136,0.11767718,0.39946258,0.025623925,-0.11035062,-0.2012236,0.054114677,0.17305647,-0.13475314,-0.0700426,-0.032153517,0.30175054
