,control0,perturbed0
MASP2,0.8069485,0.61833394
IYD,0.0969375,-0.37484086
FAM76A,-0.12332354,-0.048671402
TRAF3IP3,0.2194249,0.8271967
POMT2,-0.506157,0.05080861
VTA1,0.033531427,-0.4749766
MLXIPL,0.21079612,1.2833464
BAZ1B,-0.06437076,-0.05917737
RANBP9,0.015095447,-0.027188
ETV7,0.54981667,0.94353926
SPRTN,-0.06236731,-0.08956988
METTL13,-0.29872793,-0.33149067
DYRK4,-0.12043654,0.097293384
ZNF207,-0.038972277,-0.3809729
UQCRC1,-0.3734118,-0.51175624
STARD3NL,-0.10695764,-0.48987412
CD9,-0.2588434,-0.5250586
HHATL,-0.018500494,0.12012808
NCAPD2,-0.07270616,-0.14421502
IFFO1,-0.15658273,0.2710852
GIPR,-0.300011,-0.84376574
PHF7,-0.20488064,0.13293819
SEMA3G,-0.12435425,0.37772828
NISCH,-0.1467814,0.23177679
STAB1,0.17755058,0.83685184
FUZ,-0.039023127,0.14742637
SLC6A13,-0.05339451,0.6724783
IDS,-0.3120002,-0.7489068
PRSS3,-0.0604555,-0.13841645
ZNF200,-0.08698416,0.099283844
CD4,0.8131861,0.8166066
LRRC23,-0.04490971,-0.05603706
BTK,0.40639263,0.8881748
HFE,0.002410375,-0.34221885
SCMH1,-0.07873779,0.45214242
FYN,0.5733445,0.7335706
HIVEP2,0.014343507,0.74730235
FMO1,-0.37371692,-0.7249627
LYPLA2,-0.39511275,-0.29077557
CLCN6,-0.04437191,0.6396781
MRC2,-0.09156357,-0.018648222
NME1-NME2,-0.3771112,-0.64190376
SLC6A7,-0.0067945253,0.029432448
TSPAN9,-0.13091719,-0.20271702
APBA3,-0.31984457,-0.35122573
MKS1,-0.15850866,-0.1396926
ABHD5,-0.11319767,-0.45902246
ANOS1,-0.31296822,-0.5054735
AKAP8L,-0.243574,0.23263043
MBTD1,0.15889245,-0.07678668
UTP18,-0.13756728,-0.22305521
RNF216,-0.13177933,-0.037971854
TTC19,-0.18724068,-0.41023725
PTBP1,-0.35326138,-0.132872
DPF1,-0.15526985,-0.17572838
SYT7,0.3776218,-0.5409746
LARS2,-0.13981842,-0.492051
PIK3C2A,0.13058202,-0.16435091
PLAUR,-0.7555281,-0.87101245
ANLN,-0.36425126,-0.11331174
WIZ,-0.34813932,-0.31286544
RABGAP1,-0.035091892,0.16604963
DCN,1.6292508,1.2394011
QPCTL,-0.17432013,-0.08135024
PPP5C,-0.42602652,-0.38296887
CEP68,-0.1624104,-0.3501644
MAP4K3,0.12601742,-0.27695042
ZBTB32,-0.0048575774,0.073170744
TYROBP,0.5315688,0.8897077
GABRA3,-0.0036474336,-0.0075648767
BRCA1,-0.26469326,-0.54972446
ERCC1,-0.20707789,-0.35529178
CD22,-0.042963143,0.186931
SEMA3B,0.24833223,0.9345248
MBTPS2,-0.036348935,-0.90445584
PRICKLE3,-0.23972699,0.17450702
LTF,0.045163967,0.12437449
EXTL3,-0.33104026,-0.2015789
NR1H4,-0.114411965,0.30206114
ELOVL5,-0.33362904,-0.9515027
KDM5D,-0.25023952,-0.6802317
CALCOCO1,-0.1782995,-0.16789857
MAP4K5,0.09773997,0.07644057
EHD3,0.3045519,-0.5988661
MAN2B2,-0.20799664,-0.2208836
SLC7A14,-0.17194724,0.37042683
CLDN11,1.0395906,1.6136601
SLC25A39,-0.35956964,-0.4467625
MVP,-0.3773751,-0.029368877
NUB1,-0.06631487,0.48691744
PGM3,-0.21301347,-0.51296866
RWDD2A,-0.011198962,0.21021496
CLK1,0.15667902,0.10838768
POLR3B,-0.12527396,-0.15099812
ANGEL1,-0.061252885,-0.3023371
RNF14,-0.18933192,-0.545423
DNASE1L1,-0.18891363,-0.31701463
DDX11,-0.54137224,-0.069643885
HEBP1,0.088160574,0.2763607
GPRC5A,0.15276012,-0.0967482
MAMLD1,-0.4151856,-0.23453385
CD6,-0.01245043,0.515749
TACC3,-0.31364784,0.27770856
UFL1,-0.0036575464,-0.6839353
POLA2,-0.35372904,-0.27125746
CAPN1,-0.40897787,-0.41819084
MDH1,-0.038052402,-0.441112
SLC30A9,0.057246063,-0.41411152
MTMR11,-0.6399277,-0.7219934
COX15,-0.07756333,-0.13587558
CCDC88C,-0.23000598,-0.23370993
YAF2,-0.15943965,-0.3373394
ZMYND11,-0.037163243,-0.45731926
WAS,0.08292607,0.7621598
DPEP1,0.0055153416,0.20624515
BID,-0.16583425,-0.4870798
MATR3,0.005937503,-0.4997877
NPC1L1,-0.41430235,-0.4001479
XYLT2,-0.2541156,-0.2504155
RGPD5,-0.2824138,-0.26432067
STMN4,-0.0475134,-0.034984164
NUDCD3,-0.27784532,0.11932114
ISL1,0.0079238815,0.012044254
CHDH,-0.012147051,0.20132495
IL20RA,0.034369852,0.10539813
CLCA1,-0.00013510772,0.008025414
CLCA4,0.0053948634,0.0056081107
GLT8D1,0.0187477,-0.20853543
ATP2C1,-0.03626378,-0.6015613
IGF1,-0.28168648,-1.9732244
SLC38A5,0.052815273,-0.34414834
RALBP1,-0.089737885,-0.33428437
RUFY3,0.12354167,0.3815443
CNTN1,-0.2820722,-0.89564544
SLC11A1,0.19595626,1.1351705
WWTR1,-0.11893447,-0.19368377
AGPS,-0.22045593,-0.2819386
ATP1A2,0.15661575,0.32275915
TTC27,-0.14638913,-0.5208195
ZNF582,0.029202899,0.30738044
VSIG2,-0.38039798,-0.13783345
PHLDB1,-0.25173658,0.19644925
MARCO,0.24118285,-1.5995723
CYP24A1,-0.05380934,-0.101514876
PRDM11,0.14412823,0.44895864
SYT13,-0.41777477,0.13915238
SNAI2,0.30063996,0.056279406
CD74,0.7608317,1.0131433
HGF,0.96605575,0.30117196
ZRANB1,-0.007749066,0.101300396
NCDN,-0.35581625,-0.21314667
ADGRA2,0.028206002,0.19401906
CCT8L1P,-0.00065378053,0.0042610453
ZFP64,-0.15125765,-0.40432787
MNAT1,0.031948783,-0.17611653
SAMD4A,-0.06896253,-0.15735862
RUNX3,0.097352885,0.48734087
PLEKHB1,-0.2113408,0.6234103
SERPINB1,0.07416087,0.09862067
CYP3A43,0.10000281,0.071529984
SLC7A9,-0.26152736,-1.0406396
SPAST,-0.025205499,-0.5658211
NRXN3,0.15703736,0.18979777
OSBPL5,-0.231469,-0.19448972
AQR,-0.041023076,-0.41202888
CPS1,0.56300044,-0.6694592
C8B,0.8548527,0.8248656
FHL1,0.34973085,-0.1199086
GABRA1,0.018321997,0.01733515
SLC45A4,0.05217118,0.37590694
RNF10,-0.12347546,-0.036566056
ZNF839,-0.19315912,0.04068695
ZDHHC6,-0.03366085,-0.2593116
GRAMD1B,-0.33239436,0.034287035
RB1CC1,0.1052773,-0.42827034
ERP44,0.18665099,0.03701499
ALAS1,-0.2055708,-0.029870704
BIRC3,1.2855366,1.6192803
AKAP11,0.0735962,-0.28651136
GLRX2,-0.120498076,-0.36161113
SNAPC1,0.10670421,0.091890715
DERA,-0.21072093,-0.54637706
STRAP,-0.19065817,-0.6500543
ABCC2,-0.30896494,-0.7658771
DEF6,-0.01213295,0.65112275
PLEKHO1,-0.38007382,0.04596728
GCLM,-0.3532383,-0.9265884
UBR2,-0.0065795304,-0.1561314
EHD2,0.094709665,0.48677856
DEPDC1,-0.2699106,-0.19131958
CCDC28A,0.119985856,0.22057039
RRAGD,0.008623625,0.14223997
HSF2,0.08217317,0.20333639
PHF20,-0.14036034,-0.6739609
HSD17B6,0.97973496,0.68773496
NR1H3,-0.18649301,0.30263695
TYMP,-0.27975824,-0.31889766
NCAPH2,-0.4319171,-0.35761777
TOMM34,-0.22690882,-0.11898321
SEC63,0.097594135,-0.35689387
KPNA6,-0.2467963,-0.66929305
VIM,-0.04672875,-0.09465744
RTEL1-TNFRSF6B,-0.35476115,-0.31962228
FAS,-0.05499987,-0.6331931
RNASET2,0.016816998,0.2251082
CD44,0.35582012,-0.32427073
KCNG1,-0.565614,-0.8156703
AGPAT4,-0.005730775,0.5921666
SLAMF7,1.130898,2.197277
BTN3A1,0.26279268,0.6111585
MIPEP,-0.32759446,-1.0029213
PRKCH,-0.0678123,-0.5658819
INSRR,0.0034432006,-0.0035582576
IFNGR1,0.1618235,-0.26490676
B4GALT7,-0.39024246,-0.3559707
SH2D2A,0.031482656,0.38626057
VRK2,-0.16938467,-0.21203773
TNFRSF1B,0.042902257,0.039738506
VEZT,0.01114859,-0.18941866
POU2F2,-0.42403445,-0.7097516
BRD9,-0.3379063,-0.24417767
SNX1,-0.0710064,-0.17593656
TBPL1,-0.028086934,-0.2912558
BCLAF1,0.118009165,-0.63734096
SLC39A9,-0.028321141,-0.27627096
ANK1,0.09276492,0.34075317
IBSP,-0.026911125,-0.03300557
TFB1M,-0.16948625,-0.064450465
RABEP1,0.08274464,-0.025653139
HMGB3,-0.61728364,-0.86785007
NUP160,-0.0264789,-0.82031024
BAK1,-0.41541302,-0.7562155
MUSK,0.1125768,0.028814644
IKZF2,0.4884137,0.24672286
GRN,-0.36076114,-0.9745414
FAM13B,-0.0019007913,-0.15834525
ARHGAP31,0.1618209,-0.037908405
CENPQ,-0.0020916509,-0.3992316
RANBP3,-0.16293989,0.5354177
ARID4A,0.11148374,-0.77760994
PNPLA6,-0.3285133,-0.25846756
IFT88,-0.0076174443,0.093517065
ALG1,-0.27837104,-0.5304806
ZCCHC8,-0.018583862,0.107828215
ABCF2,-0.33034816,-0.27954066
CHPF2,-0.3478886,-0.37443343
LRRC7,0.010003129,0.37100667
FUT8,0.03468651,-0.30253482
UBA6,0.146569,0.31390277
GAB2,-0.23394638,-0.07411872
ATP6V0A1,-0.09414927,0.15984419
PIAS1,0.060480148,0.25731945
SLC4A7,0.16759232,-0.2748626
MAP2K3,-0.4212493,0.14367172
TMSB10,-0.135907,0.07037108
ASTE1,0.0122542605,-0.022249233
RNF19A,0.10148629,-0.2997565
PEX3,0.14008527,-0.33259845
GABARAPL2,-0.1906249,-0.27802378
MYOC,0.014134385,0.060863134
SH3YL1,0.023460636,-0.11071431
FAM136A,-0.09838131,0.43612137
VCL,-0.1712542,-0.24484223
DEPDC1B,-0.0040867236,0.021452697
DAPK2,-0.11377017,0.25576502
NSMAF,-0.018076887,-0.00435593
STAP1,0.04479652,0.019556718
TIMP2,-0.2401286,-0.009082064
RFC1,-0.06343486,0.078364246
TBC1D23,0.098440334,-0.51339024
CUL3,-0.026405506,-0.53682655
OTC,1.4358224,1.0572164
CYP46A1,0.010437306,0.18210337
ZZZ3,0.034954924,-0.010814648
SLC18A1,0.017860949,0.067307964
USP2,-0.111483425,0.43665025
CASR,-0.17786478,-0.18266222
TUBG2,-0.24749884,0.0027949214
RPL26L1,-0.18648896,-0.16865455
FLT4,0.015775198,0.4821395
NSUN2,-0.10812457,0.0052953884
FBXO42,-0.12595953,0.17502429
MFAP3,0.0033698971,-0.10439308
MRI1,-0.22541195,-0.22859754
METTL1,-0.316503,0.04816726
HOXC8,0.057314996,-0.039574977
AGA,-0.07410417,-0.45628405
PI4K2B,0.10357673,-0.43284035
BOD1L1,-0.10786642,-0.40992832
MAT2B,0.07084551,-0.74889857
TLL1,-0.1026447,-0.17856115
EDC4,-0.45791975,-0.50879
TRIO,-0.3149858,-0.5068438
VCAN,0.4470489,0.21419561
CLEC16A,-0.32019684,0.18964133
MSR1,1.1991398,0.9987898
CDH1,-0.17888916,-0.44900998
DNAH5,0.5152606,0.5272167
ZFYVE16,0.18710025,-0.40271324
C6,1.4707581,1.8230886
RAI14,0.011719878,0.056013823
SOX30,-0.047897413,-0.08131392
PNKP,-0.3518532,-0.20939116
BEST2,0.009380109,-0.033900224
PHLPP2,-0.16389272,-0.20346552
SPDL1,-0.47044358,-0.71515876
STAU2,-0.15658244,-0.49508262
CTNS,-0.31902492,0.27884173
RTN4R,-0.31226838,-0.62094235
PHF23,-0.27218363,-0.08690497
CDH10,0.049887035,0.072551474
INPP4A,-0.20133115,-0.026523829
RAB27B,-0.8646193,-0.64803874
PSMA4,0.036805637,0.20929527
MYO16,-0.082324,0.24072373
LSG1,-0.28513062,0.028343827
PARP3,-0.28658494,0.19605315
TNC,1.2753842,0.6036963
THAP3,-0.1940954,0.12049392
TDP1,-0.19561362,-0.31261134
AIFM2,-0.4831228,-0.591988
C2orf83,-0.06201225,-0.023959879
SPATA7,0.1286694,0.29212385
MED17,-0.3180891,-0.05428201
RETSAT,-0.43536445,-0.95726216
CAPG,0.12550801,0.45607263
AP2S1,-0.32412195,-0.49235094
USH2A,0.5966939,0.24896437
ZPBP,-0.014029906,-0.009687237
TG,-0.018975716,-0.0036486462
ADAM28,0.52877885,1.0496783
BARX2,-0.028348153,-0.17148927
DCUN1D1,0.14584534,0.07167305
JADE2,0.046862487,0.5211749
ZIC2,0.0075381636,0.070580855
LCP2,0.67000335,0.90531415
TRIT1,-0.12842776,-0.06397067
ADRB1,0.0056942403,0.009685248
GUCA2B,-0.35882688,-1.3483806
CUL7,-0.26540267,-0.2530571
CTNNA1,-0.18632396,-0.5100186
PHKA2,-0.038092814,-0.037130766
CNTLN,0.361764,0.08654404
EPHA3,-0.25374952,-1.0067718
HSPA5,0.0032999811,0.3674738
DSG2,-0.3836182,-1.0686117
GEMIN8,-0.38651675,-0.4920952
OFD1,-0.26706374,0.16849616
GPM6B,0.13094158,0.15154369
MAGEC2,-0.0022137016,-0.0034322506
PREX2,-0.11510866,-0.74838233
WDR37,-0.2068349,0.018098637
YTHDC2,-0.048510026,-0.35824412
CTPS2,-0.22625196,-0.32066056
ATP6V1H,-0.2504622,-0.4289223
POLR2B,-0.01296655,-0.17296182
ARAP2,-0.22718664,-0.17769502
TPR,0.025130518,0.064575836
CP,1.4589378,0.96555597
DTNBP1,-0.1131562,-0.053149235
XK,0.12555122,0.0635783
ANO2,-0.23574771,-0.06959605
C12orf4,0.03314559,0.530432
SCML1,0.1600399,0.06140645
WWC3,-0.33363324,0.004289061
ARHGAP6,0.57560104,0.33993337
FAM184B,-0.87464625,-0.87367177
MAP4,-0.07758133,0.45455134
GOPC,-0.1370115,-0.70581424
ROS1,-0.74486816,-0.72849476
USP28,0.08925556,-0.114788994
HDAC9,-0.19637413,-0.47497398
TSPAN17,-0.36907473,-0.47284254
NOP16,-0.2699576,-0.07444666
CC2D2A,-0.1990201,-0.44912148
RRM2B,0.009335044,-0.6355227
ZNF800,0.032815646,0.12107007
TNFRSF17,-0.009819699,0.04974056
SNX29,0.06905563,0.06238008
LMO3,-0.05964646,-0.14028479
MRPS10,-0.13753334,-0.50886214
GUCA1A,0.01800967,0.08361406
RSF1,-0.0035136587,-0.8806446
VPS13D,-0.06757209,-0.33175313
CELF2,0.8227239,0.69152665
FAM120A,-0.081124425,-0.17442557
R3HDM1,0.09957415,-0.07155976
COL9A2,-0.16900612,-0.45088577
KITLG,0.35308573,0.101019114
ERCC8,0.07456578,-0.060201377
ADAMTS6,-0.48512018,-0.47976843
H6PD,0.35414496,0.58097357
VAMP3,-0.053433593,-0.4757364
PER3,0.24167904,0.010834426
UTS2,0.020558126,0.026216524
TNFRSF9,0.2409786,0.18508527
EPN3,-0.041512955,0.23214133
LTBP1,-0.13210016,-0.30561382
RCN1,0.17994577,0.09927363
ELN,0.17924744,0.8197535
RFC2,-0.2524328,-0.3985743
ARID1B,-0.1726236,-0.3641935
NEDD4L,-0.29196268,-0.42814225
FOXP3,-0.17588031,0.015110046
PPP1R3F,-0.35357076,-0.5245625
HEXB,-0.012239976,-0.28244358
PTCD2,0.11696321,0.3873804
JKAMP,-0.13984193,-0.41817278
DKK3,0.03697303,0.35232958
NFE2L3,0.81989115,1.6294674
MCUR1,-0.030687373,0.11418125
LIMA1,0.19472502,0.08494435
LETMD1,-0.14090021,-0.3849277
SLC4A8,-0.1408702,-0.09772067
LAMC3,-0.20112702,0.99368036
PTGER3,0.025333315,0.030980226
TNIP3,0.0053319093,0.22070295
MAPK9,-0.030112708,0.108872615
COL23A1,-0.07516191,0.32896182
HERPUD1,-0.04075205,-0.15172681
HOMER3,-0.36118796,-0.36629558
RAD51,-0.23623265,-0.19592653
POLQ,-0.048112236,0.027413853
PIK3CB,-0.017902104,-0.08671972
CYBA,0.12891889,-0.048716813
THOC3,-0.3787508,-0.4891881
HEBP2,-0.25985005,-0.5305188
MPHOSPH9,-0.04139099,-0.34177035
PLEKHA5,0.07302344,-0.30216193
PRSS8,-0.527711,-0.3420841
SIKE1,-0.094996504,-0.55555534
RRP12,-0.40749395,0.024739087
FNIP2,-0.034268275,-0.87014747
MSMO1,0.15735537,-0.13067052
TTC17,0.123954795,-0.13906768
ALX4,-0.034827355,-0.016351165
FSTL4,-0.27502435,-0.7416834
FOXN3,-0.0250395,-0.22057109
METTL24,-0.012405012,0.013503848
AKR7A2,-0.1845878,-0.7619306
MRTO4,-0.2834445,-0.26268074
NNAT,0.06677652,-0.030429259
USE1,-0.17715883,-0.008904234
MCF2L2,-0.09903001,0.24641222
NRIP2,-0.017956147,0.3349731
LAMA3,-0.141069,-0.2704674
AP5M1,0.1386576,-0.16443661
ANAPC4,-0.049028333,0.18352136
TRAPPC3,-0.15775229,-0.041615084
THRAP3,-0.100230746,0.14927337
PHPT1,-0.40803313,-0.23487635
ENTPD2,-0.42924696,-0.8042097
LY75,0.2924801,-0.1523709
ARID4B,0.0077546528,-0.6923681
OPN3,-0.35415724,-1.3107725
PTPRN,-1.3406012,-2.1806529
KIF1B,-0.07679172,-0.14574149
FOXC1,-0.86668867,-0.40352398
TBC1D22A,-0.2852499,-0.07898961
SYNE2,0.5659539,0.4529121
PLEKHH1,-0.25812793,-0.7676973
ATP9A,-0.43328503,-0.68870914
SPO11,-0.00048822822,-0.003346997
CBLN4,-0.0014978647,-0.04393455
CHRDL2,0.36712813,0.95760447
FAM168A,-0.18511564,-0.18468353
RELT,-0.27329987,-0.18546933
GALC,-0.14138716,-0.7930407
NOP58,0.0021225526,0.31712002
SZRD1,-0.20154314,-0.114928715
KCNH2,0.21661001,0.19591083
CUL1,-0.16496268,-0.16365796
FAM114A2,-0.014875894,-0.11560222
CYFIP2,-0.9390111,-1.3163418
TAB2,-0.035229463,-0.31085473
GINM1,-0.017986605,-0.3210583
EIF2AK2,0.17680065,0.3813791
USP36,-0.3150936,-0.12205219
KMT2C,-0.06513686,-0.089757085
MCOLN3,0.013499565,0.4749502
CCDC85A,-0.07012548,-0.07104368
PUM2,0.07055098,-0.027477123
MRPL43,-0.29188746,-0.24388169
ITIH4,0.65159166,0.68207324
ITIH1,1.1988596,0.7848237
HPF1,0.09964541,-0.2830991
ZFR,0.069126695,-0.6869539
ZNF280C,-0.06298324,-0.3334074
NPFFR2,-0.060128205,-0.066385545
PHF21B,-0.005333352,-0.001954241
TRAF1,0.2606313,1.3971684
RC3H2,0.0035873808,-0.11214346
IL17RB,0.3377277,0.7458756
TRAF3IP2,-0.64199555,-0.6229816
GYG2,0.0915456,0.14633745
DCBLD2,-0.019198462,-0.03827617
SERPINB3,0.0,0.0
SOAT1,0.32138896,0.5785121
PKP2,-0.07633475,-0.8167809
MSH4,-0.035291333,-0.12113637
F7,0.7643474,0.77694064
GDI2,0.011949798,-0.08523126
PRDM1,0.0077245305,0.42916057
ATG5,0.025357556,-0.028418936
TMCC3,0.06709149,-0.20292202
PITHD1,-0.022186864,0.07631415
MTA3,-0.09699291,-0.28502047
USP13,-0.20803538,0.03083925
ATP11B,-0.031170117,-0.39988446
LAMC2,-1.5014907,-1.6622156
CDK14,-0.4718138,-1.0352234
