,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TRAPPC5,-0.51943153,-0.5386873,-0.5913779,0.11802112,0.17201585,0.10618061,0.31443653,0.36730576,-0.2659993,-0.2585813,-0.13273391,-0.100723185,-0.41431016,-0.4335659,-0.48625654,0.22314247,0.27713722,0.21130197,0.41955787,0.47242713,-0.16087793,-0.15345995,-0.027612552,0.0043981746
SLC25A42,-0.25724345,-0.24123955,-0.10828758,-0.16025208,0.05799511,0.31381816,0.531499,-0.26250005,-0.37019345,-0.12533087,-0.27500227,-0.27573738,-0.29460502,-0.2786011,-0.14564914,-0.19761363,0.020633563,0.2764566,0.49413747,-0.2998616,-0.40755498,-0.16269241,-0.3123638,-0.3130989
METTL23,-0.027943542,-0.2652075,0.045889817,-0.28845078,-0.14244613,0.02703667,0.06560435,-0.26352137,0.12450073,0.19358262,-0.19730224,-0.22185987,-0.046450436,-0.28371438,0.027382925,-0.30695766,-0.16095302,0.008529779,0.04709746,-0.28202826,0.10599384,0.17507574,-0.21580914,-0.24036676
SLC26A11,-0.57347524,-0.02086288,-0.4571136,-0.55610466,-0.39473453,0.39857814,0.5470509,-0.19733565,-0.65630686,-0.42165712,-0.19145408,-0.39960492,-0.7825548,-0.22994243,-0.6661931,-0.7651842,-0.60381407,0.18949859,0.33797133,-0.4064152,-0.8653864,-0.63073665,-0.40053362,-0.6086845
HIGD1A,0.58475053,0.35703546,0.17878672,0.07452474,0.046354692,0.32453102,-0.16279995,-0.22728328,0.5794896,0.5566475,0.41399074,0.1458697,0.63551664,0.40780157,0.22955284,0.12529084,0.09712079,0.37529713,-0.11203385,-0.17651719,0.6302557,0.6074136,0.46475685,0.19663581
CHRM2,-1.0218213,-0.68558437,-0.07869053,-0.5939882,-1.0633297,-0.22479841,-0.21533255,-0.6875072,-1.5023489,-0.6196602,1.1521673,-0.49065584,-1.093654,-0.75741714,-0.15052328,-0.66582096,-1.1351625,-0.29663116,-0.2871653,-0.75934,-1.5741817,-0.691493,1.0803345,-0.5624886
EHMT1,-0.5202732,-0.2950959,0.3471633,-0.15363805,-0.6672837,-0.59093535,0.070303604,-0.06716673,-1.3554431,-0.3316341,0.13658267,-0.7817051,-0.70159066,-0.47641337,0.16584583,-0.3349555,-0.84860116,-0.7722528,-0.11101386,-0.2484842,-1.5367606,-0.51295155,-0.04473479,-0.96302253
F2R,-1.9071786,-0.93890446,-0.89304477,-1.4732128,-1.2577125,-1.7836508,-1.7033722,-0.82319653,-1.6324804,-1.4469593,-0.7051974,-1.3704734,-1.7945572,-0.82628304,-0.78042334,-1.3605914,-1.145091,-1.6710293,-1.5907508,-0.7105751,-1.519859,-1.3343378,-0.59257597,-1.257852
NPM1,-0.23098217,0.0045380434,-0.071508326,-0.36456478,-0.26628414,-0.33670053,-0.54445624,-0.12676495,-0.003974209,-0.14749917,-0.035171278,-0.30254802,-0.06602514,0.16949508,0.093448706,-0.19960774,-0.10132711,-0.1717435,-0.3794992,0.03819208,0.16098282,0.017457858,0.12978575,-0.13759099
PJA1,-0.3829581,-0.51504654,-0.28673986,-0.57574344,-0.2777345,-0.2386734,-0.15305151,-0.12901829,-0.4548378,-0.38022095,-0.27296436,-0.53837997,-0.12321833,-0.25530675,-0.02700007,-0.31600365,-0.017994702,0.021066383,0.106688276,0.1307215,-0.19509801,-0.12048116,-0.013224572,-0.27864018
