,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
CYP2S1,-0.56694233,-0.23163538,-0.83822256,-0.02475679,-0.69881386,-0.20962158,-0.3621504,-0.81332177,-0.8728613,-0.2644114,-0.6356196,-0.10683944,-0.42734686,-0.0920399,-0.6986271,0.11483869,-0.5592184,-0.0700261,-0.22255492,-0.6737263,-0.7332659,-0.12481591,-0.4960241,0.032756038
AXL,-2.208039,-2.3143911,-1.5434409,-1.5569918,-1.9040929,-1.816176,-1.0076565,-1.9178195,-2.6916173,-2.8105779,-1.5785924,-2.027824,-2.0701785,-2.1765306,-1.4055804,-1.4191313,-1.7662324,-1.6783155,-0.8697959,-1.779959,-2.5537567,-2.6727173,-1.4407319,-1.8899634
NFKBID,-0.40071806,-0.09622326,-0.082455106,-0.072800845,-0.21012859,0.10698188,-0.42747748,-0.4307969,0.5628815,0.122372374,-0.15974526,0.1404232,-0.48984796,-0.18535316,-0.171585,-0.16193074,-0.29925847,0.017851986,-0.5166074,-0.5199268,0.47375163,0.03324248,-0.24887516,0.0512933
ZNF526,-0.27573866,-0.33521694,-0.11118691,-0.30954215,-0.39419934,-0.16342197,-0.13855743,-0.15422918,-0.63284135,-0.5580963,-0.45478782,-0.3185729,-0.2994432,-0.35892147,-0.13489144,-0.33324668,-0.41790387,-0.1871265,-0.16226196,-0.17793371,-0.6565459,-0.5818008,-0.47849235,-0.34227744
TRAPPC9,-0.27379236,0.05780562,-0.13757867,-0.008831266,0.022492424,0.050126124,-0.17155942,0.10481024,-0.08964435,-0.42529562,0.10091776,-0.14028901,-0.3983068,-0.066708796,-0.26209307,-0.13334568,-0.10202199,-0.074388295,-0.29607385,-0.019704178,-0.21415877,-0.54981005,-0.02359666,-0.2648034
ZNF146,-0.099852696,-0.3354442,-0.13069858,-0.25152186,-0.5581158,-0.17464063,-0.55050796,-0.49918863,-0.80623573,-0.16171706,-0.02192155,-0.17613743,-0.048698906,-0.28429043,-0.07954478,-0.20036806,-0.506962,-0.12348683,-0.49935418,-0.44803485,-0.75508195,-0.11056326,0.02923224,-0.12498364
ZNF283,-0.4913444,-0.28718126,0.20183666,-0.94785184,-0.41466776,0.25858897,0.1562321,0.3449196,-0.5523276,0.16321605,-0.12781297,0.44040072,-0.46327227,-0.25910914,0.2299088,-0.9197797,-0.38659564,0.2866611,0.18430424,0.3729917,-0.52425545,0.19128817,-0.09974084,0.46847284
SPINT2,-0.03180039,-0.103647776,-0.009987827,-0.036296986,0.34384352,0.14656578,0.0011684085,0.09339282,0.028887235,0.11729713,-0.1713006,-0.14182903,-0.49265078,-0.5644982,-0.47083822,-0.49714738,-0.11700687,-0.31428462,-0.459682,-0.36745757,-0.43196315,-0.34355325,-0.632151,-0.60267943
YIF1B,-0.21766864,-0.47868955,-0.24072416,-0.090256594,-0.32575923,-0.15193439,-0.058623128,-0.11321621,-0.31923395,-0.3623984,-0.44325572,-0.53802985,-0.3668636,-0.6278845,-0.38991916,-0.23945159,-0.47495422,-0.30112937,-0.20781812,-0.26241118,-0.46842894,-0.51159334,-0.59245074,-0.68722486
DAPK3,-0.39806286,-0.23047447,0.016934352,-0.12465955,0.07063183,-0.24752226,0.012336772,0.13012041,-0.371487,-0.24610668,0.057757597,0.04084299,-0.5712161,-0.40362775,-0.15621892,-0.29781282,-0.102521434,-0.42067552,-0.16081649,-0.043032855,-0.54464024,-0.41925997,-0.115395665,-0.13231027
EEF2,-0.33759502,-0.3678418,-0.3424908,-0.29191425,-0.41544926,-0.31315526,-0.19396144,-0.22419697,-0.38632688,-0.47874063,-0.3340353,-0.471701,-0.37867454,-0.40892133,-0.3835703,-0.33299378,-0.45652878,-0.35423478,-0.23504096,-0.2652765,-0.4274064,-0.51982015,-0.37511483,-0.51278055
CHAF1A,-0.86756486,-0.62007445,-0.7012817,-0.28747508,-0.26742923,-0.9724755,-0.1546113,0.0028798985,-0.5757057,-1.0016046,-0.19923063,-0.5726344,-0.9341767,-0.6866863,-0.76789355,-0.35408688,-0.33404103,-1.0390873,-0.2212231,-0.0637319,-0.64231753,-1.0682163,-0.26584244,-0.6392462
UBXN6,0.019520458,-0.10724548,0.017049022,0.042343386,0.15516412,0.025352798,0.00026174553,0.16425727,0.016906936,0.056303322,-0.25467205,0.055685736,0.045334168,-0.08143177,0.042862736,0.0681571,0.18097784,0.051166512,0.026075458,0.19007099,0.042720646,0.082117036,-0.22885834,0.08149945
HDGFL2,-0.4102569,-0.4860156,-0.18902238,-0.46590933,-0.38940644,-0.2625392,0.01400493,-0.09924645,-0.5326306,-0.22912692,-0.28057468,-0.33231157,-0.32274997,-0.39850867,-0.10151544,-0.3784024,-0.3018995,-0.17503227,0.101511866,-0.011739515,-0.44512367,-0.14161998,-0.19306774,-0.24480464
PLIN4,0.19745257,0.49829552,0.67057616,0.54050714,0.35435155,0.47564992,0.52432525,0.53541166,0.46278396,0.09763315,0.7089024,0.40521076,0.3888201,0.68966305,0.8619437,0.7318747,0.5457191,0.66701746,0.7156928,0.7267792,0.6541515,0.2890007,0.90027,0.5965783
SEMA6B,0.08043367,0.25732556,0.5701344,0.22938876,0.20527528,-0.21963255,0.18598862,0.7190782,-0.1645965,-0.09903475,-0.40079412,-0.16178153,0.16255185,0.33944374,0.65225255,0.31150693,0.28739345,-0.13751437,0.26810682,0.80119634,-0.082478315,-0.016916566,-0.31867594,-0.07966335
ZNF444,-0.026409823,-0.043242443,-0.01917048,0.4575513,0.1388338,0.10716357,0.21169843,0.28770405,0.19398727,0.13750894,0.058569778,0.108292796,0.13371032,0.116877705,0.14094967,0.61767143,0.29895395,0.2672837,0.37181857,0.44782418,0.3541074,0.2976291,0.21868992,0.26841295
TLCD3A,-1.2033654,-1.0053861,-1.1047094,-0.9565689,-1.1061641,-0.6616503,-0.9318562,-1.1022785,-1.0447456,-1.2795738,-0.99334466,-1.2969556,-1.2347559,-1.0367765,-1.1360998,-0.9879593,-1.1375545,-0.6930407,-0.96324664,-1.1336689,-1.076136,-1.3109642,-1.0247351,-1.328346
GLOD4,0.039279882,0.19916354,0.22351283,0.15056127,-0.022028882,0.22385702,0.17811923,0.33257705,0.1347319,0.18031585,0.36038488,0.38333273,-0.0148955695,0.14498809,0.16933738,0.09638582,-0.07620433,0.16968156,0.123943776,0.2784016,0.08055645,0.1261404,0.30620944,0.3291573
MFSD3,0.09980524,0.11181573,0.42574924,0.3213582,0.42215857,0.23851748,0.29616565,0.4907818,0.645873,-0.11004885,0.16687095,0.06031034,0.18902603,0.20103651,0.51497,0.410579,0.51137936,0.32773826,0.38538644,0.5800026,0.7350938,-0.020828068,0.25609174,0.14953113
