,orginal_var_exp,new_var_exp,dataset
82,33.19131943,40.84273181,MPS
83,33.19131943,40.84791254,MPS
84,33.19131943,40.83971389,MPS
85,33.19131943,40.84823977,MPS
86,33.19131943,40.79625128,MPS
87,33.19131943,40.77594688,MPS
88,33.19131943,40.83891368,MPS
89,33.19131943,40.79082057,MPS
90,33.19131943,40.83837606,MPS
91,33.19131943,40.83924339,MPS
92,33.19131943,40.8338615,MPS
93,33.19131943,40.65202974,MPS
94,33.19131943,40.84286547,MPS
95,33.19131943,40.54743974,MPS
96,33.19131943,40.83163871,MPS
97,33.19131943,40.8463964,MPS
98,33.19131943,40.83995032,MPS
99,33.19131943,40.84368876,MPS
100,33.19131943,40.84076989,MPS
101,33.19131943,40.84068048,MPS
102,33.19131943,40.74289941,MPS
103,33.19131943,40.80377271,MPS
104,33.19131943,40.63451902,MPS
105,33.19131943,40.80663171,MPS
106,33.19131943,40.81636598,MPS
107,33.19131943,40.81647591,MPS
108,33.19131943,40.8396985,MPS
109,33.19131943,40.84992327,MPS
110,33.19131943,40.81875755,MPS
111,33.19131943,40.84670941,MPS
112,33.19131943,40.84410272,MPS
113,33.19131943,40.84280345,MPS
114,33.19131943,40.796279,MPS
115,33.19131943,40.84065798,MPS
116,33.19131943,40.84717017,MPS
117,33.19131943,40.8417205,MPS
118,33.19131943,40.84249942,MPS
119,33.19131943,40.83619275,MPS
120,33.19131943,40.83394133,MPS
121,33.19131943,40.84510117,MPS
122,33.19131943,40.60629212,MPS
123,33.19131943,40.83945102,MPS
124,33.19131943,40.3679946,MPS
125,33.19131943,40.84047741,MPS
126,33.19131943,40.80918813,MPS
127,33.19131943,40.84108367,MPS
128,33.19131943,40.80592465,MPS
129,33.19131943,40.84414123,MPS
130,33.19131943,40.84592655,MPS
131,33.19131943,40.79587152,MPS
132,33.19131943,40.79155327,MPS
133,33.19131943,40.84522145,MPS
134,33.19131943,40.84587937,MPS
135,33.19131943,40.84426016,MPS
136,33.19131943,40.78465802,MPS
137,33.19131943,40.84351106,MPS
138,33.19131943,40.71234167,MPS
139,33.19131943,40.8384127,MPS
140,33.19131943,40.84794099,MPS
141,33.19131943,40.8441328,MPS
142,33.19131943,40.79904958,MPS
143,33.19131943,40.84511346,MPS
144,33.19131943,40.83964168,MPS
145,33.19131943,40.79308279,MPS
146,33.19131943,40.83717566,MPS
147,33.19131943,40.84346069,MPS
148,33.19131943,40.84469106,MPS
149,33.19131943,40.82808768,MPS
150,33.19131943,40.84822783,MPS
151,33.19131943,40.80241083,MPS
152,33.19131943,40.84475764,MPS
