,control0,perturbed0
BAZ1B,-0.06437075883150101,-0.0919736544413657
RANBP9,0.015095447190105915,0.03512752921330199
ETV7,0.5498166680335999,0.28082188641031586
SPRTN,-0.062367308884859085,-0.05924342053185683
METTL13,-0.29872792959213257,-0.24655575025438642
DYRK4,-0.12043654173612595,-0.2734144101540248
ZNF207,-0.03897227719426155,0.18904485447953145
UQCRC1,-0.37341180443763733,-0.2690029251078765
STARD3NL,-0.10695763677358627,0.15732074752449987
CD9,-0.25884339213371277,-0.07401746921241284
HHATL,-0.018500493839383125,-0.11019999701529741
NCAPD2,-0.07270616292953491,-0.030446293960509747
IFFO1,-0.15658272802829742,-0.40996482701351245
GIPR,-0.30001100897789,0.05078915233413378
PHF7,-0.20488063991069794,-0.430919665346543
SEMA3G,-0.12435425072908401,-0.4367121156305075
NISCH,-0.14678139984607697,-0.38740053692211707
STAB1,0.17755058407783508,-0.2614369270702203
FUZ,-0.039023127406835556,-0.14339398501906545
SLC6A13,-0.053394511342048645,-0.5448483308156331
IDS,-0.31200018525123596,-0.008375745018323277
PRSS3,-0.060455501079559326,-0.006870368573193751
ZNF200,-0.08698415756225586,-0.2163759633898735
CD4,0.8131861090660095,0.757950990604392
LRRC23,-0.04490970820188522,-0.028722194427003463
BTK,0.4063926339149475,0.0439043159286181
HFE,0.0024103750474750996,0.21933233697588245
SCMH1,-0.0787377879023552,-0.42878497838974
FYN,0.5733445286750793,0.46221381835639475
HIVEP2,0.014343506656587124,-0.47090159772584833
FMO1,-0.37371692061424255,-0.11701246102650958
LYPLA2,-0.3951127529144287,-0.44671641354604313
CLCN6,-0.04437191039323807,-0.5076762318611145
MRC2,-0.09156356751918793,-0.1605057737479607
NME1-NME2,-0.37711119651794434,-0.1661625397702058
SLC6A7,-0.006794525310397148,-0.03716333623354634
TSPAN9,-0.13091719150543213,-0.06450312994420529
APBA3,-0.3198445737361908,-0.2933151243875424
MKS1,-0.15850865840911865,-0.1712170529703144
ABHD5,-0.11319766938686371,0.11402235627174379
ANOS1,-0.3129682242870331,-0.19685738162370398
AKAP8L,-0.24357399344444275,-0.5544703082491954
MBTD1,0.1588924527168274,0.3137279431025187
UTP18,-0.13756728172302246,-0.06662457697093487
RNF216,-0.13177932798862457,-0.18799139310916266
TTC19,-0.18724067509174347,-0.04443170179923375
PTBP1,-0.35326138138771057,-0.4913178331529101
DPF1,-0.15526984632015228,-0.12847548973125716
SYT7,0.3776217997074127,0.9619993778566519
LARS2,-0.13981841504573822,0.09511487260460855
