,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
ZDHHC17,-0.19777776,0.13193625,-0.4015602,-0.32983828,-0.3730594,-0.7783204,-0.17632245,-0.16597196,-0.61596686,-0.42100933,0.035322893,-0.3607447,-0.20626067,0.12345336,-0.4100431,-0.33832118,-0.3815423,-0.78680325,-0.18480535,-0.17445487,-0.62444973,-0.42949224,0.026839994,-0.36922762
SERPINA11,2.3717175,0.35816583,1.015488,0.8215019,0.25946233,0.36049858,-0.21014903,1.6710732,0.5480861,0.6965189,0.085024156,0.8644252,2.3969522,0.3834005,1.0407227,0.8467366,0.284697,0.38573325,-0.18491435,1.6963079,0.5733208,0.7217536,0.11025883,0.8896599
ZNF395,0.35592523,-0.21070862,-0.10424213,-0.41783312,0.021717278,-0.2605857,0.23517394,-0.122872375,-0.4559635,-0.35523206,-0.1693328,-0.33721158,0.4151335,-0.15150033,-0.045033846,-0.35862485,0.08092556,-0.2013774,0.2943822,-0.06366409,-0.39675522,-0.2960238,-0.11012451,-0.2780033
ZACN,-0.19782421,-0.4272226,-0.3221206,-0.24258141,-0.19175586,0.4083568,0.06347395,0.19389406,-0.34843516,0.08736307,0.17871065,-0.45162228,-0.018558905,-0.2479573,-0.1428553,-0.06331611,-0.012490556,0.5876221,0.24273926,0.37315935,-0.16916986,0.26662838,0.35797596,-0.272357
PPARA,0.24775772,0.34001783,0.38247982,-0.18519674,0.19662814,0.0675117,0.37341133,0.017037204,0.19986737,-0.1470024,0.0976814,-0.03873563,0.22845253,0.32071263,0.36317462,-0.20450193,0.17732295,0.048206512,0.35410613,-0.0022679847,0.18056218,-0.16630758,0.07837622,-0.05804082
EFCAB6,0.35610193,-0.4889385,-0.28926846,0.23833053,0.070283584,-0.559653,-0.31142786,-0.47460163,-0.045598213,-0.7177619,-0.408649,-0.5201362,0.4541641,-0.39087635,-0.1912063,0.3363927,0.16834575,-0.46159083,-0.2133657,-0.37653947,0.052463945,-0.6196997,-0.31058684,-0.42207402
KANK3,-0.31612763,-0.62255776,0.011460932,0.02294055,-0.55367607,-0.3045956,-0.1623803,0.032628786,-0.52223873,-0.40521336,-0.42674828,-0.36238378,-0.24356249,-0.5499926,0.08402606,0.095505685,-0.48111093,-0.23203045,-0.08981516,0.10519391,-0.4496736,-0.33264822,-0.35418314,-0.28981864
EMID1,0.3141471,0.4859058,0.39400584,0.3040801,0.55006754,0.6467674,0.54090166,0.53434193,-0.13376178,0.6682805,-0.2394822,-0.2656657,0.19488452,0.3666432,0.27474326,0.18481751,0.43080497,0.5275048,0.42163908,0.41507936,-0.25302437,0.5490179,-0.3587448,-0.3849283
ESPN,0.1183758,0.41014114,0.006827134,0.6357754,0.52627736,0.6408522,0.6663643,0.71999305,0.15823041,0.2919849,0.034009043,0.42042243,0.15971342,0.45147878,0.04816476,0.677113,0.567615,0.6821898,0.7077019,0.76133066,0.19956803,0.33332253,0.07534666,0.46176004
PTRH1,-0.51044625,-0.4381651,-0.21700668,-0.09622308,0.0108459145,-0.24999103,-0.11105952,0.15462914,-0.06603724,-0.40209693,-0.1845507,-0.041473046,-0.40264022,-0.33035904,-0.10920064,0.011582963,0.11865196,-0.14218499,-0.0032534748,0.2624352,0.041768804,-0.2942909,-0.07674466,0.066332996
