,control0,perturbed0
ALOX5AP,-0.15380946,-0.31235257
HMGB1P5,-0.09358727,0.0848346
WASF3,0.019147912,-0.00662593
RNF17,-0.002600001,0.01631933
GPR12,0.014231111,0.0413758
CHRM3,-0.020697258,0.18750328
MYH8,-0.0024073892,-0.0054005524
MYH10,0.19412223,0.15509793
PEMT,-0.058799785,0.08936329
SCO1,0.0038604215,0.075079925
MPRIP,-0.33374238,-0.3517046
CHI3L1,0.3034282,0.37112558
MYBPH,0.028511599,0.04342461
PIK3C2B,-0.30154756,-0.41040576
DSTYK,-0.183952,-0.20687278
CHIT1,0.84213686,0.5400888
SLC41A1,-0.18690747,-0.16287415
LGR6,0.0041616494,0.02722779
TMCC2,-0.3376252,-0.3114953
DCLK1,-0.0107267825,0.08444107
CCNA1,0.26334894,0.15396726
COG6,-0.015135522,0.082103275
RXFP2,0.0,0.0004808977
EPSTI1,0.050507013,0.04117472
TRPC4,0.18398444,0.21431081
POSTN,0.45927945,0.44411027
RFXAP,0.060185358,0.14253782
TPT1,0.15733364,0.2032165
GPALPP1,0.0779889,0.12934431
STOML3,0.004065819,0.0043675574
KL,-0.33456597,-0.2443625
RFC3,-0.3863101,-0.26635915
STARD13,-0.28424603,-0.25015622
IRS4,0.0042581954,0.028211677
MORC4,0.16409989,0.31136718
BEX2,-0.28164586,-0.35056412
RNF128,-0.2404277,-0.17399362
TBC1D8B,0.09282112,0.15064555
TCEAL4,-0.09315326,-0.11983422
BEX1,-0.025881723,0.044501983
FAM104A,-0.04177814,0.024588294
EPHB2,0.025739815,-0.0510193
SRRM1,-0.13369606,-0.17552376
BTBD2,-0.14370424,-0.16026461
PRAM1,0.07738672,-0.017039776
KMT5C,-0.28289255,-0.26222247
ZNF414,-0.59789693,-0.55122346
PDE6B,0.09603194,0.079588026
HSPBP1,-0.5208424,-0.5010722
CSNK1G2,-0.27970707,-0.28522834
SLF1,-0.014758459,0.12713775
CNDP2,-0.08378715,-0.034938026
MACROD1,-0.053605046,-0.107778564
WDR74,-0.23412155,-0.23782147
LGALS12,-0.109155335,-0.10962802
RTN3,0.046960227,0.12566414
MED10,-0.23611885,-0.16901919
PDZD2,-0.4882564,-0.35646704
MORC2,-0.20840116,-0.25724977
LARGE1,-0.33692595,-0.39648148
MYO18B,0.019123942,-0.03404171
C1QTNF6,-0.41893595,-0.42009088
FAM83F,-0.6428975,-0.7325586
SEC14L4,-0.67857265,-0.7247085
GIMAP6,0.33384752,0.45857352
GIMAP4,0.5051788,0.6442138
ADCK2,-0.4070435,-0.37518877
MKRN1,-0.069960974,-0.014908489
AGAP3,-0.25664285,-0.27249864
KRBA1,-0.21980064,-0.24719512
ZNF767P,-0.0853161,-0.040569
ACTR3B,-0.15740645,-0.15543683
NTS,-0.019428216,0.07623734
BTG1,-0.13730425,-0.09877974
LRRIQ1,0.09760777,0.027465954
C12orf29,0.14106494,0.22191873
ATP13A3,-0.12859601,-0.07854915
SFTPD,-0.12969744,-0.06857026
DYDC2,0.21540423,0.25170028
TMEM254,-0.097505406,-0.016077831
TMTC1,0.9660422,0.9529915
KRAS,-0.09900236,-0.062716894
IPO8,0.10269989,0.16761148
SPINK5,0.012561903,0.019417092
IMPA1,-0.022386823,0.061440747
LRRCC1,0.16394092,0.26721793
E2F5,0.18909425,0.20680411
CA1,0.035708584,0.16454303
CCDC59,-0.012867945,0.12843356
SWAP70,-0.12592402,-0.078387775
LYVE1,0.18504445,0.4862495
AMPD3,0.058337756,0.051460624
SBF2,0.054037355,0.21862474
MICAL2,-0.09615907,-0.1393962
RRAS2,-0.24042468,-0.18027726
HSD17B4,0.074450165,0.15465271
ZFC3H1,0.058740616,0.15675366
TEX15,-0.2558711,-0.14559156
SARAF,-0.19085678,-0.061027467
RNF122,-0.6332328,-0.574742
DUSP26,-0.2509151,-0.24685906
DPF2,-0.14973213,-0.059495583
MEN1,-0.18114527,-0.13452274
GSC,-0.009673805,-0.009599645
NUMB,-0.15043768,-0.0873653
VRTN,-0.032757062,0.003022913
COX16,-0.12093378,-0.08820735
TTC9,-0.47151047,-0.47743148
MED6,-0.14574829,-0.05179034
EIF2S1,-0.16356856,-0.08440713
ADAM20,-0.012064097,0.092485495
LOXL2,0.8647674,0.8672834
ELP3,-0.23027101,-0.12528604
PEBP4,-0.046567112,0.011422515
ADAMDEC1,1.0229912,0.7338665
MRO,0.0116111925,0.07559379
MBD2,0.03567346,-0.014581956
IER3IP1,-0.044194505,0.12782867
CCNB1,-0.31856185,-0.4739722
CD180,0.43588862,0.4000697
IRAK2,-0.3694951,-0.43591452
CAMK1,-0.17835501,-0.14927727
THUMPD3,-0.041032087,0.0050687604
VHL,0.056843817,-0.038219668
BHLHE40,-0.24613348,-0.05964154
ARL8B,-0.059412006,0.015494492
EDEM1,0.12445753,0.14718872
CNTN6,-0.011031183,0.0024785316
CHL1,0.6216242,0.8218154
MEIS2,0.26371214,0.26542476
DPH6,-0.0142242955,0.10485516
KATNBL1,-0.05088008,0.08917841
EMC7,-0.12034916,-0.02651091
GNAT2,-0.044922195,0.04234138
GSTM1,-0.28677392,-0.039952666
PRPF38B,-0.09833598,-0.045622617
REG4,-0.013616141,0.0070867836
TSPAN2,-1.1733576,-1.1736646
TSHB,-0.0014081199,-0.0001828419
GSTM5,0.0015106365,0.12180881
GSTM3,-0.11688931,0.042816356
SYT6,-0.0015278589,0.0004118206
VAV3,-0.011974678,0.07628985
CHIA,0.00483218,0.020563666
PSRC1,-0.0559436,-0.03819745
HMGCS2,-0.48345336,-0.328772
PTPN22,0.30732393,0.33718818
SORT1,-0.28243434,-0.24291365
WNT2B,-0.09317515,0.074686
PTGFRN,-0.22558998,-0.15640733
LAMTOR5,-0.15433326,-0.08729201
ADAM30,-0.023473402,-0.020700926
NOTCH2,-0.2368882,-0.22351429
TRIM45,-0.27787352,-0.21438134
CEPT1,0.07871104,0.26306936
CD101,-0.07377996,-0.0140845515
VTCN1,-0.37070882,-0.41391924
NGF,0.03538701,0.1708118
AP4B1,-0.23758362,-0.17030919
NAPG,-0.14653954,-0.07318914
SPIRE1,-0.16268425,-0.20919612
PPHLN1,-0.17792344,-0.07578739
FKBP11,-0.2890527,-0.18278746
ARF3,-0.08167323,-0.04046441
TMEM106C,0.044174854,0.13987088
SLC38A2,0.13328372,0.17600942
PLEKHA8P1,-0.13312212,-0.060372636
YWHAQ,-0.12586856,-0.025792077
KIDINS220,-0.11149945,-0.06346954
GRHL1,-0.29119524,-0.25337225
ROCK2,0.11796041,0.059039798
RSAD2,0.16694796,0.1793502
MYCN,-0.051695734,-0.07832058
LPIN1,0.11192782,0.20651148
CMPK2,0.3794419,0.428403
IAH1,-0.22890644,-0.11804369
SAA2,3.318448,3.5785122
ANO3,-0.16266201,-0.07422103
IL6ST,0.77941084,0.87542486
FST,0.036850534,0.14008552
CFHR4,2.0404315,2.1782153
NAV1,0.08444062,0.010990396
CDC73,0.010242009,0.043430142
TIMM17A,-0.17670895,-0.06277764
CRB1,-0.008760542,-0.026736543
CFHR5,2.1658046,2.3898258
ERN2,-0.06353525,-0.01859583
RPS15A,0.042290207,0.057661846
RAX,-0.0009680409,0.018225452
GRP,0.0,0.0002271562
RBM17,-0.096289314,-0.051575296
IL2RA,0.1733635,0.23268525
ANKRD16,-0.07899927,-0.032347303
ECHDC3,0.008135203,0.18245713
IL15RA,0.04597737,0.042911053
CCNH,-0.09167276,0.05291319
HRH4,-0.017703962,-0.011132238
TMEM241,-0.30020332,-0.21220997
KCTD1,-0.58665735,-0.55460227
CABLES1,-0.59662163,-0.6089865
DOCK2,0.19146062,0.23620069
EMP1,0.19092968,0.38148814
SOX5,0.16240554,0.2154731
RERG,0.70758533,0.80938894
SLCO1B1,0.045134705,0.17207901
KLRD1,0.108895876,0.35231403
KLRC1,0.09403247,0.18307568
SPX,0.41788515,0.57954776
LRP4,-0.2159724,-0.18036625
MYBPC3,-0.0064274785,-0.00042965962
DDB2,-0.37620935,-0.30925566
ACP2,-0.21118651,-0.11621059
USP26,-0.0058285324,0.020169415
RAB33A,-0.03508945,0.019450348
SOX3,-0.004954164,-0.008421242
RBMX2,-0.1352235,-0.07501496
STK26,-0.15279025,-0.07976853
FOLH1B,0.11900504,0.129188
PIWIL4,-0.25902814,-0.0853762
MTNR1B,-0.0012210772,0.0040851454
PUM1,-0.12797195,-0.053267986
SPOCD1,-0.36418092,-0.519989
PHC2,-0.31784546,-0.2704867
CDCA8,-0.3023987,-0.35549328
GNL2,-0.17290853,-0.1566715
AGO4,-0.20327061,-0.11542961
HOOK1,0.05789431,0.08639029
CYP2J2,-0.07816686,-0.030148298
BTF3L4,0.16939224,0.34062606
PRPF38A,-0.03587054,0.07809885
DSC2,-0.6835267,-0.6400264
DSG3,-0.05700157,-0.00081545487
RNF138,0.13327385,0.329747
