"",p1,p2,p3,p4,p5,p6,p7,p8
PON1,-0.00771825600084416,-0.00587828029502355,-0.0078579012973295,0.00727242237876396,0.00119621887005161,-0.00764443849875968,0.000484002506569385,-0.00510537505918364
GCFC2,-0.000211988173379818,-0.00336689049186716,-0.00752380458615346,-0.00955623223794995,0.0117385089736702,-0.0204394455262685,-0.00402185648863292,-0.00204034186244805
WDR54,0.00631339520475866,-0.00813850314781978,0.0031963724899892,-0.00207586310452908,0.00244445573266223,0.00338769052838907,0.00673666450043855,0.00108930554444976
CROT,-0.00412479615927489,-0.00492076021424527,-0.0122327401734225,-0.00460020813232964,-0.00230688303534871,-0.00382768106354019,0.0029077469659767,-0.0019123167330703
ABCB4,0.019877099767791,0.00612167795413725,-0.0103769570703073,0.010036509246026,-0.01881661894951,-0.00626358409565456,-0.0112944820748749,-0.00263459934476405
KMT2E,0.00354702913740853,-0.00706640303059712,-0.00938749883285779,-0.000693468837175347,-0.00039390852874372,0.00393226220664381,0.00367942395079262,-0.00498080326857518
RHBDD2,0.00848035749561945,-0.00209465203800874,0.00763138093683987,0.000856348892345405,-0.0107287015464332,-0.00461974768328978,-0.00382240195570187,0.00617820301609448
SOX8,0.000953717041473691,-0.00151932651168749,0.000491529806182096,0.000799195636138762,0.00139783709309343,0.00093266334693145,0.00158354862150869,-0.00119512071253443
ZNF195,0.00700831283341114,-0.00254204370982849,0.00285412601141997,-0.00703374841944513,0.0106985213134575,-0.0160671051870661,-0.00286231524200277,-0.0033246388641276
MYCBP2,0.00385666591448447,0.00430726329971132,-0.00976579029646445,0.00595472219193851,-0.00260942480720118,0.00861989480748746,0.0100927838866391,-0.00925418098822596
FBXL3,0.000233105798627482,-0.004566589405935,-0.0186232789094426,-0.00127452271677756,0.0142363017837441,-0.00218499327961452,0.0024471110550294,-0.00466013038507816
ITGAL,0.00563214269612954,-0.0150464960566304,0.00232582498909394,0.00627976289907907,0.00574845488745893,0.00987036697054806,-0.00898324214703378,-0.00772739436782902
PDK2,-0.000480193755198987,-0.00612712916164158,0.00235555440580945,0.0092892123464091,-0.00256855573626267,0.00498746890288749,0.0119441291076008,-0.00647656109776771
ITGA3,0.0200241010537629,-0.0118235478901995,0.00707848152331535,-0.0163720790962884,-0.00434273806694827,0.00666306135873243,0.00996941335197202,-0.0110307640097907
ZFX,0.00611491970425442,-0.00560034206323679,-0.0115007468358231,-0.00168100488597649,0.00827679977688538,-0.00239150818392043,-0.00522591004877271,0.00852528564268886
LAMP2,0.0127851034214376,0.00157479385536339,-0.0161450703570748,-0.00275924792703742,-0.00404456834034459,-0.00667451654233207,-0.0031249691640613,-0.00235251234003165
ITGA2B,0.00130887024749488,-0.003319694456141,0.00235348661556161,0.000348220535729123,0.00122944644689074,8.71070342486537e-05,-0.00093983785293438,0.00554791406646061
ASB4,-0.00664967539411098,-0.00384007137634296,0.000713558449231438,-0.00723039305510548,0.00519526013449635,-0.00452311139299175,0.00713782507972168,-0.00508094601253804
GDE1,0.00392042381312533,-0.00355926800494558,-0.00460185370269195,0.00917816421970605,-0.00379782558607754,-0.00229588381063294,0.00644740379560939,0.00137273856817003
CRLF1,0.00481769056889902,0.000534355594901431,0.0068508476474978,-0.00131774945615427,0.0085149318956573,-0.00160522133828931,-0.00557904835233038,-0.00128684673767682
