"",V1,V2
DLEC1,-0.00481573674648435,-0.000114274844022266
CYTH3,0.00452541086643431,0.000898918743661735
ADAM22,-0.00407503704661689,0.00159051518381635
SYPL1,0.000575071877820277,0.00422454693167126
CYB561,0.0078301807634684,0.00619743796487848
SPAG9,-0.00248925203913638,0.00239812199042782
CELSR3,-0.00885765359952151,-0.000729616471912039
AASS,0.00218150818041241,0.00132894252571634
PLEKHG6,-0.00685488346226019,-0.00925766254892843
SS18L2,0.00175927470344223,0.000374278096517278
MPND,0.000599867284588035,-0.0100904452052445
MGST1,0.00101764936609774,0.00196611109619851
CRY1,0.00764032894964417,-0.00353773346819159
PGLYRP1,-0.00432899651017033,-0.00074408745193009
NFIX,-0.00699641382015806,-0.0155189839715547
ST3GAL1,0.00927916439027884,-0.00517352268449897
MMP25,-0.00358666513705638,0.00165618004587463
IL32,0.0239272726413976,-0.00558849030027803
PKD1,0.00511895468126692,-0.00630900141828868
MAPK8IP2,0.00112788291504069,-0.00128640217103222
MED24,-0.000351966013554306,-0.0026282291502751
RHOBTB2,-0.00167761082705946,-0.00142320375960387
HEATR5B,0.000334666229606789,0.0078335246183517
SEC62,-0.00309877744292146,-0.00279304515058606
RPS20,-0.00267988580374454,0.00252985293359143
CSDE1,-0.000942705212540659,0.00416011089722852
UBE3C,0.00226669899483081,0.000815279373589373
REV3L,0.00339981419130254,0.00703200280870018
TENM1,-0.00212783638739047,0.00738159530405223
PAX7,-0.000152427909098967,-7.45243537460804e-05
MASP2,-0.00167842373487933,0.00104642361551815
IYD,0.00213859915633535,-0.00709954916565882
FAM76A,-0.000847490444940719,0.00310746175157839
TRAF3IP3,-0.00387631715751976,0.00048607936051196
POMT2,0.0107780672368681,0.00704747776143085
VTA1,0.00357332034633776,-0.00489359620548388
MLXIPL,-0.00196525207986704,0.00358197443816545
BAZ1B,0.000603767871874035,2.99090093263645e-05
RANBP9,0.00200961606748976,0.00119142054950679
ETV7,-0.0108094651660545,-0.000389480150477718
SPRTN,-0.0080893828554553,0.00110147451128084
METTL13,0.00896956531992656,0.00242544469744504
DYRK4,-0.00652826923536069,0.000762489663909977
